group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
de_transaction,borsh,idx=7; size=371,371,bytes,18196579.0,ns,6873
de_transaction,borsh,idx=7; size=371,371,bytes,36303850.0,ns,13746
de_transaction,borsh,idx=7; size=371,371,bytes,54359843.0,ns,20619
de_transaction,borsh,idx=7; size=371,371,bytes,72686943.0,ns,27492
de_transaction,borsh,idx=7; size=371,371,bytes,90929181.0,ns,34365
de_transaction,borsh,idx=7; size=371,371,bytes,108680776.0,ns,41238
de_transaction,borsh,idx=7; size=371,371,bytes,127359938.0,ns,48111
de_transaction,borsh,idx=7; size=371,371,bytes,144997237.0,ns,54984
de_transaction,borsh,idx=7; size=371,371,bytes,163249697.0,ns,61857
de_transaction,borsh,idx=7; size=371,371,bytes,181420381.0,ns,68730
