group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
de_transaction,cbor,idx=6; size=546,546,bytes,1020048.0,ns,250
de_transaction,cbor,idx=6; size=546,546,bytes,1938945.0,ns,500
de_transaction,cbor,idx=6; size=546,546,bytes,2896779.0,ns,750
de_transaction,cbor,idx=6; size=546,546,bytes,3900122.0,ns,1000
de_transaction,cbor,idx=6; size=546,546,bytes,4829680.0,ns,1250
de_transaction,cbor,idx=6; size=546,546,bytes,5793759.0,ns,1500
de_transaction,cbor,idx=6; size=546,546,bytes,7034847.0,ns,1750
de_transaction,cbor,idx=6; size=546,546,bytes,8038728.0,ns,2000
de_transaction,cbor,idx=6; size=546,546,bytes,8793739.0,ns,2250
de_transaction,cbor,idx=6; size=546,546,bytes,9752409.0,ns,2500
de_transaction,cbor,idx=6; size=546,546,bytes,10682028.0,ns,2750
de_transaction,cbor,idx=6; size=546,546,bytes,11640247.0,ns,3000
de_transaction,cbor,idx=6; size=546,546,bytes,13089151.0,ns,3250
de_transaction,cbor,idx=6; size=546,546,bytes,13654164.0,ns,3500
de_transaction,cbor,idx=6; size=546,546,bytes,14593010.0,ns,3750
de_transaction,cbor,idx=6; size=546,546,bytes,15479667.0,ns,4000
de_transaction,cbor,idx=6; size=546,546,bytes,16425675.0,ns,4250
de_transaction,cbor,idx=6; size=546,546,bytes,17409832.0,ns,4500
de_transaction,cbor,idx=6; size=546,546,bytes,18420902.0,ns,4750
de_transaction,cbor,idx=6; size=546,546,bytes,20334764.0,ns,5000
de_transaction,cbor,idx=6; size=546,546,bytes,20526266.0,ns,5250
de_transaction,cbor,idx=6; size=546,546,bytes,21392507.0,ns,5500
de_transaction,cbor,idx=6; size=546,546,bytes,22386291.0,ns,5750
de_transaction,cbor,idx=6; size=546,546,bytes,23259680.0,ns,6000
de_transaction,cbor,idx=6; size=546,546,bytes,24316563.0,ns,6250
de_transaction,cbor,idx=6; size=546,546,bytes,25335637.0,ns,6500
de_transaction,cbor,idx=6; size=546,546,bytes,26281933.0,ns,6750
de_transaction,cbor,idx=6; size=546,546,bytes,27120879.0,ns,7000
de_transaction,cbor,idx=6; size=546,546,bytes,28052573.0,ns,7250
de_transaction,cbor,idx=6; size=546,546,bytes,29507390.0,ns,7500
de_transaction,cbor,idx=6; size=546,546,bytes,30046836.0,ns,7750
de_transaction,cbor,idx=6; size=546,546,bytes,31354383.0,ns,8000
de_transaction,cbor,idx=6; size=546,546,bytes,32463427.0,ns,8250
de_transaction,cbor,idx=6; size=546,546,bytes,33325505.0,ns,8500
de_transaction,cbor,idx=6; size=546,546,bytes,34097597.0,ns,8750
de_transaction,cbor,idx=6; size=546,546,bytes,34972099.0,ns,9000
de_transaction,cbor,idx=6; size=546,546,bytes,36660165.0,ns,9250
de_transaction,cbor,idx=6; size=546,546,bytes,36732082.0,ns,9500
de_transaction,cbor,idx=6; size=546,546,bytes,37764112.0,ns,9750
de_transaction,cbor,idx=6; size=546,546,bytes,38649315.0,ns,10000
de_transaction,cbor,idx=6; size=546,546,bytes,40556897.0,ns,10250
de_transaction,cbor,idx=6; size=546,546,bytes,41138941.0,ns,10500
de_transaction,cbor,idx=6; size=546,546,bytes,42208744.0,ns,10750
de_transaction,cbor,idx=6; size=546,546,bytes,42931135.0,ns,11000
de_transaction,cbor,idx=6; size=546,546,bytes,44308906.0,ns,11250
de_transaction,cbor,idx=6; size=546,546,bytes,45205971.0,ns,11500
de_transaction,cbor,idx=6; size=546,546,bytes,46441964.0,ns,11750
de_transaction,cbor,idx=6; size=546,546,bytes,46973799.0,ns,12000
de_transaction,cbor,idx=6; size=546,546,bytes,47644261.0,ns,12250
de_transaction,cbor,idx=6; size=546,546,bytes,48433274.0,ns,12500
de_transaction,cbor,idx=6; size=546,546,bytes,50088694.0,ns,12750
de_transaction,cbor,idx=6; size=546,546,bytes,50254660.0,ns,13000
de_transaction,cbor,idx=6; size=546,546,bytes,51334444.0,ns,13250
de_transaction,cbor,idx=6; size=546,546,bytes,52167508.0,ns,13500
de_transaction,cbor,idx=6; size=546,546,bytes,53421204.0,ns,13750
de_transaction,cbor,idx=6; size=546,546,bytes,54809735.0,ns,14000
de_transaction,cbor,idx=6; size=546,546,bytes,55406286.0,ns,14250
de_transaction,cbor,idx=6; size=546,546,bytes,56947591.0,ns,14500
de_transaction,cbor,idx=6; size=546,546,bytes,57252848.0,ns,14750
de_transaction,cbor,idx=6; size=546,546,bytes,58468376.0,ns,15000
de_transaction,cbor,idx=6; size=546,546,bytes,59544410.0,ns,15250
de_transaction,cbor,idx=6; size=546,546,bytes,60927211.0,ns,15500
de_transaction,cbor,idx=6; size=546,546,bytes,61524903.0,ns,15750
de_transaction,cbor,idx=6; size=546,546,bytes,61950837.0,ns,16000
de_transaction,cbor,idx=6; size=546,546,bytes,63954422.0,ns,16250
