group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
de_transaction,speedy,idx=9; size=372,372,bytes,1088444.0,ns,2627
de_transaction,speedy,idx=9; size=372,372,bytes,1975276.0,ns,5254
de_transaction,speedy,idx=9; size=372,372,bytes,2969230.0,ns,7881
de_transaction,speedy,idx=9; size=372,372,bytes,3973024.0,ns,10508
de_transaction,speedy,idx=9; size=372,372,bytes,4921379.0,ns,13135
de_transaction,speedy,idx=9; size=372,372,bytes,5916988.0,ns,15762
de_transaction,speedy,idx=9; size=372,372,bytes,6885873.0,ns,18389
de_transaction,speedy,idx=9; size=372,372,bytes,7977524.0,ns,21016
de_transaction,speedy,idx=9; size=372,372,bytes,8867447.0,ns,23643
de_transaction,speedy,idx=9; size=372,372,bytes,9887740.0,ns,26270
de_transaction,speedy,idx=9; size=372,372,bytes,10842874.0,ns,28897
de_transaction,speedy,idx=9; size=372,372,bytes,11846734.0,ns,31524
de_transaction,speedy,idx=9; size=372,372,bytes,12817739.0,ns,34151
de_transaction,speedy,idx=9; size=372,372,bytes,13999783.0,ns,36778
de_transaction,speedy,idx=9; size=372,372,bytes,14880829.0,ns,39405
de_transaction,speedy,idx=9; size=372,372,bytes,15906173.0,ns,42032
de_transaction,speedy,idx=9; size=372,372,bytes,16815192.0,ns,44659
de_transaction,speedy,idx=9; size=372,372,bytes,18034981.0,ns,47286
de_transaction,speedy,idx=9; size=372,372,bytes,18822953.0,ns,49913
de_transaction,speedy,idx=9; size=372,372,bytes,19822841.0,ns,52540
de_transaction,speedy,idx=9; size=372,372,bytes,21141260.0,ns,55167
de_transaction,speedy,idx=9; size=372,372,bytes,21959376.0,ns,57794
de_transaction,speedy,idx=9; size=372,372,bytes,22712423.0,ns,60421
de_transaction,speedy,idx=9; size=372,372,bytes,24191480.0,ns,63048
de_transaction,speedy,idx=9; size=372,372,bytes,24733435.0,ns,65675
de_transaction,speedy,idx=9; size=372,372,bytes,25648377.0,ns,68302
de_transaction,speedy,idx=9; size=372,372,bytes,26639812.0,ns,70929
de_transaction,speedy,idx=9; size=372,372,bytes,27604457.0,ns,73556
de_transaction,speedy,idx=9; size=372,372,bytes,28662962.0,ns,76183
de_transaction,speedy,idx=9; size=372,372,bytes,29586361.0,ns,78810
de_transaction,speedy,idx=9; size=372,372,bytes,30573383.0,ns,81437
de_transaction,speedy,idx=9; size=372,372,bytes,31925185.0,ns,84064
de_transaction,speedy,idx=9; size=372,372,bytes,32661444.0,ns,86691
de_transaction,speedy,idx=9; size=372,372,bytes,33542851.0,ns,89318
de_transaction,speedy,idx=9; size=372,372,bytes,34516828.0,ns,91945
de_transaction,speedy,idx=9; size=372,372,bytes,35630087.0,ns,94572
