group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ser_account,bincode,idx=0; size=64,64,bytes,1091208.0,ns,7283
ser_account,bincode,idx=0; size=64,64,bytes,1983061.0,ns,14566
ser_account,bincode,idx=0; size=64,64,bytes,2949554.0,ns,21849
ser_account,bincode,idx=0; size=64,64,bytes,3924036.0,ns,29132
ser_account,bincode,idx=0; size=64,64,bytes,4916323.0,ns,36415
ser_account,bincode,idx=0; size=64,64,bytes,5883376.0,ns,43698
ser_account,bincode,idx=0; size=64,64,bytes,6902046.0,ns,50981
ser_account,bincode,idx=0; size=64,64,bytes,7863221.0,ns,58264
ser_account,bincode,idx=0; size=64,64,bytes,8867406.0,ns,65547
ser_account,bincode,idx=0; size=64,64,bytes,9859873.0,ns,72830
ser_account,bincode,idx=0; size=64,64,bytes,10837800.0,ns,80113
ser_account,bincode,idx=0; size=64,64,bytes,11798287.0,ns,87396
ser_account,bincode,idx=0; size=64,64,bytes,12844773.0,ns,94679
ser_account,bincode,idx=0; size=64,64,bytes,13769106.0,ns,101962
ser_account,bincode,idx=0; size=64,64,bytes,14751203.0,ns,109245
ser_account,bincode,idx=0; size=64,64,bytes,16026314.0,ns,116528
ser_account,bincode,idx=0; size=64,64,bytes,16824110.0,ns,123811
ser_account,bincode,idx=0; size=64,64,bytes,17942728.0,ns,131094
ser_account,bincode,idx=0; size=64,64,bytes,19149349.0,ns,138377
ser_account,bincode,idx=0; size=64,64,bytes,19752117.0,ns,145660
ser_account,bincode,idx=0; size=64,64,bytes,20751724.0,ns,152943
ser_account,bincode,idx=0; size=64,64,bytes,22091438.0,ns,160226
ser_account,bincode,idx=0; size=64,64,bytes,22649328.0,ns,167509
ser_account,bincode,idx=0; size=64,64,bytes,23602659.0,ns,174792
ser_account,bincode,idx=0; size=64,64,bytes,24588869.0,ns,182075
ser_account,bincode,idx=0; size=64,64,bytes,26130342.0,ns,189358
ser_account,bincode,idx=0; size=64,64,bytes,26648903.0,ns,196641
ser_account,bincode,idx=0; size=64,64,bytes,27541573.0,ns,203924
ser_account,bincode,idx=0; size=64,64,bytes,28548396.0,ns,211207
ser_account,bincode,idx=0; size=64,64,bytes,30062927.0,ns,218490
ser_account,bincode,idx=0; size=64,64,bytes,31231597.0,ns,225773
ser_account,bincode,idx=0; size=64,64,bytes,31687299.0,ns,233056
ser_account,bincode,idx=0; size=64,64,bytes,32898748.0,ns,240339
ser_account,bincode,idx=0; size=64,64,bytes,33516400.0,ns,247622
ser_account,bincode,idx=0; size=64,64,bytes,34728221.0,ns,254905
ser_account,bincode,idx=0; size=64,64,bytes,35457562.0,ns,262188
ser_account,bincode,idx=0; size=64,64,bytes,36596029.0,ns,269471
ser_account,bincode,idx=0; size=64,64,bytes,38161566.0,ns,276754
ser_account,bincode,idx=0; size=64,64,bytes,38944302.0,ns,284037
ser_account,bincode,idx=0; size=64,64,bytes,39813517.0,ns,291320
ser_account,bincode,idx=0; size=64,64,bytes,41174822.0,ns,298603
ser_account,bincode,idx=0; size=64,64,bytes,41799399.0,ns,305886
ser_account,bincode,idx=0; size=64,64,bytes,42948923.0,ns,313169
ser_account,bincode,idx=0; size=64,64,bytes,43972290.0,ns,320452
ser_account,bincode,idx=0; size=64,64,bytes,44659459.0,ns,327735
ser_account,bincode,idx=0; size=64,64,bytes,45634102.0,ns,335018
ser_account,bincode,idx=0; size=64,64,bytes,46305424.0,ns,342301
ser_account,bincode,idx=0; size=64,64,bytes,47307291.0,ns,349584
ser_account,bincode,idx=0; size=64,64,bytes,48984359.0,ns,356867
ser_account,bincode,idx=0; size=64,64,bytes,49762492.0,ns,364150
ser_account,bincode,idx=0; size=64,64,bytes,50542121.0,ns,371433
ser_account,bincode,idx=0; size=64,64,bytes,51331573.0,ns,378716
ser_account,bincode,idx=0; size=64,64,bytes,52373697.0,ns,385999
ser_account,bincode,idx=0; size=64,64,bytes,53515662.0,ns,393282
ser_account,bincode,idx=0; size=64,64,bytes,54418705.0,ns,400565
ser_account,bincode,idx=0; size=64,64,bytes,55266440.0,ns,407848
ser_account,bincode,idx=0; size=64,64,bytes,56716980.0,ns,415131
ser_account,bincode,idx=0; size=64,64,bytes,57124549.0,ns,422414
ser_account,bincode,idx=0; size=64,64,bytes,58179832.0,ns,429697
ser_account,bincode,idx=0; size=64,64,bytes,59009043.0,ns,436980
ser_account,bincode,idx=0; size=64,64,bytes,59981050.0,ns,444263
ser_account,bincode,idx=0; size=64,64,bytes,60929461.0,ns,451546
ser_account,bincode,idx=0; size=64,64,bytes,62009199.0,ns,458829
ser_account,bincode,idx=0; size=64,64,bytes,62912072.0,ns,466112
ser_account,bincode,idx=0; size=64,64,bytes,64189252.0,ns,473395
ser_account,bincode,idx=0; size=64,64,bytes,65454963.0,ns,480678
ser_account,bincode,idx=0; size=64,64,bytes,66449469.0,ns,487961
ser_account,bincode,idx=0; size=64,64,bytes,67427696.0,ns,495244
ser_account,bincode,idx=0; size=64,64,bytes,68663901.0,ns,502527
ser_account,bincode,idx=0; size=64,64,bytes,69892594.0,ns,509810
ser_account,bincode,idx=0; size=64,64,bytes,70296749.0,ns,517093
ser_account,bincode,idx=0; size=64,64,bytes,71346157.0,ns,524376
ser_account,bincode,idx=0; size=64,64,bytes,72214546.0,ns,531659
ser_account,bincode,idx=0; size=64,64,bytes,73352884.0,ns,538942
ser_account,bincode,idx=0; size=64,64,bytes,73818656.0,ns,546225
ser_account,bincode,idx=0; size=64,64,bytes,74847033.0,ns,553508
ser_account,bincode,idx=0; size=64,64,bytes,75778219.0,ns,560791
ser_account,bincode,idx=0; size=64,64,bytes,77484798.0,ns,568074
ser_account,bincode,idx=0; size=64,64,bytes,77821532.0,ns,575357
ser_account,bincode,idx=0; size=64,64,bytes,79421657.0,ns,582640
ser_account,bincode,idx=0; size=64,64,bytes,79730485.0,ns,589923
ser_account,bincode,idx=0; size=64,64,bytes,81257796.0,ns,597206
ser_account,bincode,idx=0; size=64,64,bytes,82378960.0,ns,604489
ser_account,bincode,idx=0; size=64,64,bytes,83190867.0,ns,611772
ser_account,bincode,idx=0; size=64,64,bytes,84428507.0,ns,619055
