group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ser_account,bincode,idx=5; size=64,64,bytes,1109417.0,ns,7280
ser_account,bincode,idx=5; size=64,64,bytes,2240265.0,ns,14560
ser_account,bincode,idx=5; size=64,64,bytes,3561909.0,ns,21840
ser_account,bincode,idx=5; size=64,64,bytes,3961853.0,ns,29120
ser_account,bincode,idx=5; size=64,64,bytes,4937777.0,ns,36400
ser_account,bincode,idx=5; size=64,64,bytes,5958753.0,ns,43680
ser_account,bincode,idx=5; size=64,64,bytes,6928866.0,ns,50960
ser_account,bincode,idx=5; size=64,64,bytes,8040002.0,ns,58240
ser_account,bincode,idx=5; size=64,64,bytes,8887514.0,ns,65520
ser_account,bincode,idx=5; size=64,64,bytes,9860444.0,ns,72800
ser_account,bincode,idx=5; size=64,64,bytes,11019862.0,ns,80080
ser_account,bincode,idx=5; size=64,64,bytes,12035681.0,ns,87360
ser_account,bincode,idx=5; size=64,64,bytes,12835069.0,ns,94640
ser_account,bincode,idx=5; size=64,64,bytes,13837316.0,ns,101920
ser_account,bincode,idx=5; size=64,64,bytes,14833858.0,ns,109200
ser_account,bincode,idx=5; size=64,64,bytes,15987961.0,ns,116480
ser_account,bincode,idx=5; size=64,64,bytes,16761105.0,ns,123760
ser_account,bincode,idx=5; size=64,64,bytes,17738580.0,ns,131040
ser_account,bincode,idx=5; size=64,64,bytes,18647319.0,ns,138320
ser_account,bincode,idx=5; size=64,64,bytes,19709244.0,ns,145600
ser_account,bincode,idx=5; size=64,64,bytes,20615174.0,ns,152880
ser_account,bincode,idx=5; size=64,64,bytes,21713896.0,ns,160160
ser_account,bincode,idx=5; size=64,64,bytes,22603420.0,ns,167440
ser_account,bincode,idx=5; size=64,64,bytes,23854115.0,ns,174720
ser_account,bincode,idx=5; size=64,64,bytes,24877841.0,ns,182000
ser_account,bincode,idx=5; size=64,64,bytes,25625511.0,ns,189280
ser_account,bincode,idx=5; size=64,64,bytes,26667749.0,ns,196560
ser_account,bincode,idx=5; size=64,64,bytes,27548104.0,ns,203840
ser_account,bincode,idx=5; size=64,64,bytes,28752577.0,ns,211120
ser_account,bincode,idx=5; size=64,64,bytes,29588294.0,ns,218400
ser_account,bincode,idx=5; size=64,64,bytes,30948141.0,ns,225680
ser_account,bincode,idx=5; size=64,64,bytes,31615838.0,ns,232960
ser_account,bincode,idx=5; size=64,64,bytes,32744710.0,ns,240240
ser_account,bincode,idx=5; size=64,64,bytes,33615445.0,ns,247520
ser_account,bincode,idx=5; size=64,64,bytes,34612378.0,ns,254800
ser_account,bincode,idx=5; size=64,64,bytes,35733790.0,ns,262080
ser_account,bincode,idx=5; size=64,64,bytes,36351415.0,ns,269360
ser_account,bincode,idx=5; size=64,64,bytes,37435630.0,ns,276640
ser_account,bincode,idx=5; size=64,64,bytes,38873312.0,ns,283920
ser_account,bincode,idx=5; size=64,64,bytes,39823048.0,ns,291200
ser_account,bincode,idx=5; size=64,64,bytes,40662930.0,ns,298480
ser_account,bincode,idx=5; size=64,64,bytes,41601262.0,ns,305760
ser_account,bincode,idx=5; size=64,64,bytes,42781355.0,ns,313040
ser_account,bincode,idx=5; size=64,64,bytes,43688767.0,ns,320320
ser_account,bincode,idx=5; size=64,64,bytes,44942609.0,ns,327600
ser_account,bincode,idx=5; size=64,64,bytes,46247755.0,ns,334880
ser_account,bincode,idx=5; size=64,64,bytes,47351747.0,ns,342160
