group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ser_account,borsh,idx=0; size=64,64,bytes,1152939.0,ns,7813
ser_account,borsh,idx=0; size=64,64,bytes,1950530.0,ns,15626
ser_account,borsh,idx=0; size=64,64,bytes,2921348.0,ns,23439
ser_account,borsh,idx=0; size=64,64,bytes,3889862.0,ns,31252
ser_account,borsh,idx=0; size=64,64,bytes,4848842.0,ns,39065
ser_account,borsh,idx=0; size=64,64,bytes,5851097.0,ns,46878
ser_account,borsh,idx=0; size=64,64,bytes,6819482.0,ns,54691
ser_account,borsh,idx=0; size=64,64,bytes,7741123.0,ns,62504
ser_account,borsh,idx=0; size=64,64,bytes,8764455.0,ns,70317
ser_account,borsh,idx=0; size=64,64,bytes,9739064.0,ns,78130
ser_account,borsh,idx=0; size=64,64,bytes,10634891.0,ns,85943
ser_account,borsh,idx=0; size=64,64,bytes,11605897.0,ns,93756
ser_account,borsh,idx=0; size=64,64,bytes,12616744.0,ns,101569
ser_account,borsh,idx=0; size=64,64,bytes,13547008.0,ns,109382
ser_account,borsh,idx=0; size=64,64,bytes,14517634.0,ns,117195
ser_account,borsh,idx=0; size=64,64,bytes,15508848.0,ns,125008
ser_account,borsh,idx=0; size=64,64,bytes,16503571.0,ns,132821
ser_account,borsh,idx=0; size=64,64,bytes,17765009.0,ns,140634
ser_account,borsh,idx=0; size=64,64,bytes,18427207.0,ns,148447
ser_account,borsh,idx=0; size=64,64,bytes,19397037.0,ns,156260
ser_account,borsh,idx=0; size=64,64,bytes,20349708.0,ns,164073
ser_account,borsh,idx=0; size=64,64,bytes,21467005.0,ns,171886
ser_account,borsh,idx=0; size=64,64,bytes,22325444.0,ns,179699
ser_account,borsh,idx=0; size=64,64,bytes,23402096.0,ns,187512
ser_account,borsh,idx=0; size=64,64,bytes,24320541.0,ns,195325
ser_account,borsh,idx=0; size=64,64,bytes,25289712.0,ns,203138
ser_account,borsh,idx=0; size=64,64,bytes,26150517.0,ns,210951
ser_account,borsh,idx=0; size=64,64,bytes,27226181.0,ns,218764
ser_account,borsh,idx=0; size=64,64,bytes,28063900.0,ns,226577
ser_account,borsh,idx=0; size=64,64,bytes,29175458.0,ns,234390
ser_account,borsh,idx=0; size=64,64,bytes,30016705.0,ns,242203
ser_account,borsh,idx=0; size=64,64,bytes,38023819.0,ns,250016
ser_account,borsh,idx=0; size=64,64,bytes,32002997.0,ns,257829
ser_account,borsh,idx=0; size=64,64,bytes,33039143.0,ns,265642
ser_account,borsh,idx=0; size=64,64,bytes,34097072.0,ns,273455
ser_account,borsh,idx=0; size=64,64,bytes,34885321.0,ns,281268
ser_account,borsh,idx=0; size=64,64,bytes,43267070.0,ns,289081
ser_account,borsh,idx=0; size=64,64,bytes,36938360.0,ns,296894
ser_account,borsh,idx=0; size=64,64,bytes,37958842.0,ns,304707
ser_account,borsh,idx=0; size=64,64,bytes,38857481.0,ns,312520
ser_account,borsh,idx=0; size=64,64,bytes,39813750.0,ns,320333
ser_account,borsh,idx=0; size=64,64,bytes,40609342.0,ns,328146
ser_account,borsh,idx=0; size=64,64,bytes,41685973.0,ns,335959
ser_account,borsh,idx=0; size=64,64,bytes,42694332.0,ns,343772
ser_account,borsh,idx=0; size=64,64,bytes,43572982.0,ns,351585
ser_account,borsh,idx=0; size=64,64,bytes,44598494.0,ns,359398
ser_account,borsh,idx=0; size=64,64,bytes,45480176.0,ns,367211
ser_account,borsh,idx=0; size=64,64,bytes,46459554.0,ns,375024
ser_account,borsh,idx=0; size=64,64,bytes,55464764.0,ns,382837
ser_account,borsh,idx=0; size=64,64,bytes,48453155.0,ns,390650
ser_account,borsh,idx=0; size=64,64,bytes,49419442.0,ns,398463
ser_account,borsh,idx=0; size=64,64,bytes,52392090.0,ns,406276
ser_account,borsh,idx=0; size=64,64,bytes,51512780.0,ns,414089
ser_account,borsh,idx=0; size=64,64,bytes,52280526.0,ns,421902
ser_account,borsh,idx=0; size=64,64,bytes,57704205.0,ns,429715
ser_account,borsh,idx=0; size=64,64,bytes,57185236.0,ns,437528
ser_account,borsh,idx=0; size=64,64,bytes,55445551.0,ns,445341
ser_account,borsh,idx=0; size=64,64,bytes,56593414.0,ns,453154
ser_account,borsh,idx=0; size=64,64,bytes,57337863.0,ns,460967
ser_account,borsh,idx=0; size=64,64,bytes,58102106.0,ns,468780
ser_account,borsh,idx=0; size=64,64,bytes,59460359.0,ns,476593
ser_account,borsh,idx=0; size=64,64,bytes,60010156.0,ns,484406
ser_account,borsh,idx=0; size=64,64,bytes,61138381.0,ns,492219
ser_account,borsh,idx=0; size=64,64,bytes,62006821.0,ns,500032
ser_account,borsh,idx=0; size=64,64,bytes,63002909.0,ns,507845
ser_account,borsh,idx=0; size=64,64,bytes,63876868.0,ns,515658
ser_account,borsh,idx=0; size=64,64,bytes,71359955.0,ns,523471
ser_account,borsh,idx=0; size=64,64,bytes,65861801.0,ns,531284
ser_account,borsh,idx=0; size=64,64,bytes,66792330.0,ns,539097
ser_account,borsh,idx=0; size=64,64,bytes,67685047.0,ns,546910
ser_account,borsh,idx=0; size=64,64,bytes,68661442.0,ns,554723
ser_account,borsh,idx=0; size=64,64,bytes,77727851.0,ns,562536
ser_account,borsh,idx=0; size=64,64,bytes,95190855.0,ns,570349
ser_account,borsh,idx=0; size=64,64,bytes,75575547.0,ns,578162
ser_account,borsh,idx=0; size=64,64,bytes,72715648.0,ns,585975
ser_account,borsh,idx=0; size=64,64,bytes,73734489.0,ns,593788
ser_account,borsh,idx=0; size=64,64,bytes,74731827.0,ns,601601
ser_account,borsh,idx=0; size=64,64,bytes,75548544.0,ns,609414
