group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ser_account,borsh,idx=2; size=64,64,bytes,1085459.0,ns,31216
ser_account,borsh,idx=2; size=64,64,bytes,1953036.0,ns,62432
ser_account,borsh,idx=2; size=64,64,bytes,2953731.0,ns,93648
ser_account,borsh,idx=2; size=64,64,bytes,3894472.0,ns,124864
ser_account,borsh,idx=2; size=64,64,bytes,4927807.0,ns,156080
ser_account,borsh,idx=2; size=64,64,bytes,5894193.0,ns,187296
ser_account,borsh,idx=2; size=64,64,bytes,6814575.0,ns,218512
ser_account,borsh,idx=2; size=64,64,bytes,7872892.0,ns,249728
ser_account,borsh,idx=2; size=64,64,bytes,8826939.0,ns,280944
ser_account,borsh,idx=2; size=64,64,bytes,9781646.0,ns,312160
ser_account,borsh,idx=2; size=64,64,bytes,10698142.0,ns,343376
ser_account,borsh,idx=2; size=64,64,bytes,11884716.0,ns,374592
ser_account,borsh,idx=2; size=64,64,bytes,13017920.0,ns,405808
ser_account,borsh,idx=2; size=64,64,bytes,13923057.0,ns,437024
ser_account,borsh,idx=2; size=64,64,bytes,14814114.0,ns,468240
ser_account,borsh,idx=2; size=64,64,bytes,15643165.0,ns,499456
ser_account,borsh,idx=2; size=64,64,bytes,16706785.0,ns,530672
ser_account,borsh,idx=2; size=64,64,bytes,17893597.0,ns,561888
ser_account,borsh,idx=2; size=64,64,bytes,19153292.0,ns,593104
ser_account,borsh,idx=2; size=64,64,bytes,19828704.0,ns,624320
ser_account,borsh,idx=2; size=64,64,bytes,20642123.0,ns,655536
ser_account,borsh,idx=2; size=64,64,bytes,21517027.0,ns,686752
ser_account,borsh,idx=2; size=64,64,bytes,22627391.0,ns,717968
ser_account,borsh,idx=2; size=64,64,bytes,23616005.0,ns,749184
ser_account,borsh,idx=2; size=64,64,bytes,24687918.0,ns,780400
ser_account,borsh,idx=2; size=64,64,bytes,25542029.0,ns,811616
ser_account,borsh,idx=2; size=64,64,bytes,26866965.0,ns,842832
ser_account,borsh,idx=2; size=64,64,bytes,27981530.0,ns,874048
ser_account,borsh,idx=2; size=64,64,bytes,28827332.0,ns,905264
ser_account,borsh,idx=2; size=64,64,bytes,29451754.0,ns,936480
ser_account,borsh,idx=2; size=64,64,bytes,30459758.0,ns,967696
ser_account,borsh,idx=2; size=64,64,bytes,31399172.0,ns,998912
ser_account,borsh,idx=2; size=64,64,bytes,32463403.0,ns,1030128
ser_account,borsh,idx=2; size=64,64,bytes,33352285.0,ns,1061344
ser_account,borsh,idx=2; size=64,64,bytes,34371041.0,ns,1092560
ser_account,borsh,idx=2; size=64,64,bytes,35553027.0,ns,1123776
ser_account,borsh,idx=2; size=64,64,bytes,37002775.0,ns,1154992
ser_account,borsh,idx=2; size=64,64,bytes,37340372.0,ns,1186208
ser_account,borsh,idx=2; size=64,64,bytes,38367776.0,ns,1217424
ser_account,borsh,idx=2; size=64,64,bytes,39516250.0,ns,1248640
ser_account,borsh,idx=2; size=64,64,bytes,41610149.0,ns,1279856
ser_account,borsh,idx=2; size=64,64,bytes,41722641.0,ns,1311072
ser_account,borsh,idx=2; size=64,64,bytes,42928026.0,ns,1342288
ser_account,borsh,idx=2; size=64,64,bytes,43675439.0,ns,1373504
ser_account,borsh,idx=2; size=64,64,bytes,45226980.0,ns,1404720
ser_account,borsh,idx=2; size=64,64,bytes,46222027.0,ns,1435936
ser_account,borsh,idx=2; size=64,64,bytes,46923843.0,ns,1467152
ser_account,borsh,idx=2; size=64,64,bytes,47386589.0,ns,1498368
ser_account,borsh,idx=2; size=64,64,bytes,48045770.0,ns,1529584
ser_account,borsh,idx=2; size=64,64,bytes,49096653.0,ns,1560800
ser_account,borsh,idx=2; size=64,64,bytes,50080979.0,ns,1592016
ser_account,borsh,idx=2; size=64,64,bytes,51086088.0,ns,1623232
ser_account,borsh,idx=2; size=64,64,bytes,52224215.0,ns,1654448
ser_account,borsh,idx=2; size=64,64,bytes,54037785.0,ns,1685664
ser_account,borsh,idx=2; size=64,64,bytes,53860123.0,ns,1716880
ser_account,borsh,idx=2; size=64,64,bytes,54696340.0,ns,1748096
ser_account,borsh,idx=2; size=64,64,bytes,56297458.0,ns,1779312
ser_account,borsh,idx=2; size=64,64,bytes,56891483.0,ns,1810528
ser_account,borsh,idx=2; size=64,64,bytes,58279939.0,ns,1841744
ser_account,borsh,idx=2; size=64,64,bytes,58733697.0,ns,1872960
ser_account,borsh,idx=2; size=64,64,bytes,59883153.0,ns,1904176
ser_account,borsh,idx=2; size=64,64,bytes,61276444.0,ns,1935392
ser_account,borsh,idx=2; size=64,64,bytes,62170091.0,ns,1966608
ser_account,borsh,idx=2; size=64,64,bytes,62664371.0,ns,1997824
ser_account,borsh,idx=2; size=64,64,bytes,64456474.0,ns,2029040
ser_account,borsh,idx=2; size=64,64,bytes,64725261.0,ns,2060256
ser_account,borsh,idx=2; size=64,64,bytes,66474196.0,ns,2091472
ser_account,borsh,idx=2; size=64,64,bytes,67797234.0,ns,2122688
ser_account,borsh,idx=2; size=64,64,bytes,67623842.0,ns,2153904
ser_account,borsh,idx=2; size=64,64,bytes,68868426.0,ns,2185120
ser_account,borsh,idx=2; size=64,64,bytes,70279402.0,ns,2216336
ser_account,borsh,idx=2; size=64,64,bytes,71373775.0,ns,2247552
ser_account,borsh,idx=2; size=64,64,bytes,71380550.0,ns,2278768
ser_account,borsh,idx=2; size=64,64,bytes,72580454.0,ns,2309984
ser_account,borsh,idx=2; size=64,64,bytes,74038216.0,ns,2341200
ser_account,borsh,idx=2; size=64,64,bytes,74902594.0,ns,2372416
ser_account,borsh,idx=2; size=64,64,bytes,76435713.0,ns,2403632
ser_account,borsh,idx=2; size=64,64,bytes,77071562.0,ns,2434848
ser_account,borsh,idx=2; size=64,64,bytes,84412559.0,ns,2466064
ser_account,borsh,idx=2; size=64,64,bytes,78871424.0,ns,2497280
ser_account,borsh,idx=2; size=64,64,bytes,79778274.0,ns,2528496
ser_account,borsh,idx=2; size=64,64,bytes,80824737.0,ns,2559712
ser_account,borsh,idx=2; size=64,64,bytes,81575468.0,ns,2590928
ser_account,borsh,idx=2; size=64,64,bytes,82849484.0,ns,2622144
ser_account,borsh,idx=2; size=64,64,bytes,85197985.0,ns,2653360
ser_account,borsh,idx=2; size=64,64,bytes,84061023.0,ns,2684576
ser_account,borsh,idx=2; size=64,64,bytes,85148846.0,ns,2715792
ser_account,borsh,idx=2; size=64,64,bytes,86694721.0,ns,2747008
ser_account,borsh,idx=2; size=64,64,bytes,87961018.0,ns,2778224
ser_account,borsh,idx=2; size=64,64,bytes,88825168.0,ns,2809440
ser_account,borsh,idx=2; size=64,64,bytes,90360134.0,ns,2840656
ser_account,borsh,idx=2; size=64,64,bytes,90633311.0,ns,2871872
ser_account,borsh,idx=2; size=64,64,bytes,91693908.0,ns,2903088
ser_account,borsh,idx=2; size=64,64,bytes,92684278.0,ns,2934304
ser_account,borsh,idx=2; size=64,64,bytes,93251460.0,ns,2965520
ser_account,borsh,idx=2; size=64,64,bytes,95160251.0,ns,2996736
ser_account,borsh,idx=2; size=64,64,bytes,96734635.0,ns,3027952
ser_account,borsh,idx=2; size=64,64,bytes,96202958.0,ns,3059168
ser_account,borsh,idx=2; size=64,64,bytes,97621248.0,ns,3090384
