group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ser_account,borsh,idx=9; size=64,64,bytes,18138671.0,ns,356918
ser_account,borsh,idx=9; size=64,64,bytes,36311730.0,ns,713836
ser_account,borsh,idx=9; size=64,64,bytes,54323028.0,ns,1070754
ser_account,borsh,idx=9; size=64,64,bytes,72555787.0,ns,1427672
ser_account,borsh,idx=9; size=64,64,bytes,90687626.0,ns,1784590
ser_account,borsh,idx=9; size=64,64,bytes,108623467.0,ns,2141508
ser_account,borsh,idx=9; size=64,64,bytes,127366268.0,ns,2498426
ser_account,borsh,idx=9; size=64,64,bytes,145805826.0,ns,2855344
ser_account,borsh,idx=9; size=64,64,bytes,163534721.0,ns,3212262
ser_account,borsh,idx=9; size=64,64,bytes,181087669.0,ns,3569180
