group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ser_account,cbor,idx=0; size=64,64,bytes,1114843.0,ns,1493
ser_account,cbor,idx=0; size=64,64,bytes,1945838.0,ns,2986
ser_account,cbor,idx=0; size=64,64,bytes,2915147.0,ns,4479
ser_account,cbor,idx=0; size=64,64,bytes,3894786.0,ns,5972
ser_account,cbor,idx=0; size=64,64,bytes,4877959.0,ns,7465
ser_account,cbor,idx=0; size=64,64,bytes,5837935.0,ns,8958
ser_account,cbor,idx=0; size=64,64,bytes,6814177.0,ns,10451
ser_account,cbor,idx=0; size=64,64,bytes,7818584.0,ns,11944
ser_account,cbor,idx=0; size=64,64,bytes,8930350.0,ns,13437
ser_account,cbor,idx=0; size=64,64,bytes,10020036.0,ns,14930
ser_account,cbor,idx=0; size=64,64,bytes,11360742.0,ns,16423
ser_account,cbor,idx=0; size=64,64,bytes,11907081.0,ns,17916
ser_account,cbor,idx=0; size=64,64,bytes,12703545.0,ns,19409
ser_account,cbor,idx=0; size=64,64,bytes,13654055.0,ns,20902
ser_account,cbor,idx=0; size=64,64,bytes,14643352.0,ns,22395
ser_account,cbor,idx=0; size=64,64,bytes,15563891.0,ns,23888
ser_account,cbor,idx=0; size=64,64,bytes,16966779.0,ns,25381
ser_account,cbor,idx=0; size=64,64,bytes,17551839.0,ns,26874
ser_account,cbor,idx=0; size=64,64,bytes,18680051.0,ns,28367
ser_account,cbor,idx=0; size=64,64,bytes,19485652.0,ns,29860
ser_account,cbor,idx=0; size=64,64,bytes,20568623.0,ns,31353
ser_account,cbor,idx=0; size=64,64,bytes,21326724.0,ns,32846
ser_account,cbor,idx=0; size=64,64,bytes,22357164.0,ns,34339
ser_account,cbor,idx=0; size=64,64,bytes,23302077.0,ns,35832
ser_account,cbor,idx=0; size=64,64,bytes,24357103.0,ns,37325
ser_account,cbor,idx=0; size=64,64,bytes,25786749.0,ns,38818
ser_account,cbor,idx=0; size=64,64,bytes,26622484.0,ns,40311
ser_account,cbor,idx=0; size=64,64,bytes,27137313.0,ns,41804
ser_account,cbor,idx=0; size=64,64,bytes,28140506.0,ns,43297
ser_account,cbor,idx=0; size=64,64,bytes,29103497.0,ns,44790
ser_account,cbor,idx=0; size=64,64,bytes,30535948.0,ns,46283
ser_account,cbor,idx=0; size=64,64,bytes,31048532.0,ns,47776
ser_account,cbor,idx=0; size=64,64,bytes,32007866.0,ns,49269
ser_account,cbor,idx=0; size=64,64,bytes,33007784.0,ns,50762
ser_account,cbor,idx=0; size=64,64,bytes,33918975.0,ns,52255
ser_account,cbor,idx=0; size=64,64,bytes,34883281.0,ns,53748
ser_account,cbor,idx=0; size=64,64,bytes,35846159.0,ns,55241
ser_account,cbor,idx=0; size=64,64,bytes,36807846.0,ns,56734
ser_account,cbor,idx=0; size=64,64,bytes,37830790.0,ns,58227
ser_account,cbor,idx=0; size=64,64,bytes,38881504.0,ns,59720
ser_account,cbor,idx=0; size=64,64,bytes,39681146.0,ns,61213
ser_account,cbor,idx=0; size=64,64,bytes,40693797.0,ns,62706
ser_account,cbor,idx=0; size=64,64,bytes,41754859.0,ns,64199
ser_account,cbor,idx=0; size=64,64,bytes,43455822.0,ns,65692
ser_account,cbor,idx=0; size=64,64,bytes,44452040.0,ns,67185
ser_account,cbor,idx=0; size=64,64,bytes,45827056.0,ns,68678
ser_account,cbor,idx=0; size=64,64,bytes,46499811.0,ns,70171
ser_account,cbor,idx=0; size=64,64,bytes,47526775.0,ns,71664
ser_account,cbor,idx=0; size=64,64,bytes,48139833.0,ns,73157
ser_account,cbor,idx=0; size=64,64,bytes,48939661.0,ns,74650
ser_account,cbor,idx=0; size=64,64,bytes,50480091.0,ns,76143
ser_account,cbor,idx=0; size=64,64,bytes,50872310.0,ns,77636
ser_account,cbor,idx=0; size=64,64,bytes,51519006.0,ns,79129
ser_account,cbor,idx=0; size=64,64,bytes,52942845.0,ns,80622
ser_account,cbor,idx=0; size=64,64,bytes,53799134.0,ns,82115
ser_account,cbor,idx=0; size=64,64,bytes,54931301.0,ns,83608
ser_account,cbor,idx=0; size=64,64,bytes,55371655.0,ns,85101
ser_account,cbor,idx=0; size=64,64,bytes,56190834.0,ns,86594
ser_account,cbor,idx=0; size=64,64,bytes,57297296.0,ns,88087
ser_account,cbor,idx=0; size=64,64,bytes,58178184.0,ns,89580
ser_account,cbor,idx=0; size=64,64,bytes,59171113.0,ns,91073
ser_account,cbor,idx=0; size=64,64,bytes,60084638.0,ns,92566
ser_account,cbor,idx=0; size=64,64,bytes,61185642.0,ns,94059
ser_account,cbor,idx=0; size=64,64,bytes,62623931.0,ns,95552
ser_account,cbor,idx=0; size=64,64,bytes,62985902.0,ns,97045
ser_account,cbor,idx=0; size=64,64,bytes,64975203.0,ns,98538
ser_account,cbor,idx=0; size=64,64,bytes,66180463.0,ns,100031
ser_account,cbor,idx=0; size=64,64,bytes,66809399.0,ns,101524
ser_account,cbor,idx=0; size=64,64,bytes,68664919.0,ns,103017
ser_account,cbor,idx=0; size=64,64,bytes,68165615.0,ns,104510
ser_account,cbor,idx=0; size=64,64,bytes,69586449.0,ns,106003
ser_account,cbor,idx=0; size=64,64,bytes,70005499.0,ns,107496
ser_account,cbor,idx=0; size=64,64,bytes,71608835.0,ns,108989
ser_account,cbor,idx=0; size=64,64,bytes,72063601.0,ns,110482
ser_account,cbor,idx=0; size=64,64,bytes,72786343.0,ns,111975
ser_account,cbor,idx=0; size=64,64,bytes,73839156.0,ns,113468
ser_account,cbor,idx=0; size=64,64,bytes,74623361.0,ns,114961
ser_account,cbor,idx=0; size=64,64,bytes,75573311.0,ns,116454
ser_account,cbor,idx=0; size=64,64,bytes,76745402.0,ns,117947
ser_account,cbor,idx=0; size=64,64,bytes,78277657.0,ns,119440
ser_account,cbor,idx=0; size=64,64,bytes,79284494.0,ns,120933
ser_account,cbor,idx=0; size=64,64,bytes,81158483.0,ns,122426
ser_account,cbor,idx=0; size=64,64,bytes,81238005.0,ns,123919
ser_account,cbor,idx=0; size=64,64,bytes,82132529.0,ns,125412
ser_account,cbor,idx=0; size=64,64,bytes,82909850.0,ns,126905
ser_account,cbor,idx=0; size=64,64,bytes,83545950.0,ns,128398
ser_account,cbor,idx=0; size=64,64,bytes,85171562.0,ns,129891
ser_account,cbor,idx=0; size=64,64,bytes,85515186.0,ns,131384
ser_account,cbor,idx=0; size=64,64,bytes,86303384.0,ns,132877
ser_account,cbor,idx=0; size=64,64,bytes,87324285.0,ns,134370
ser_account,cbor,idx=0; size=64,64,bytes,88282060.0,ns,135863
ser_account,cbor,idx=0; size=64,64,bytes,90050439.0,ns,137356
ser_account,cbor,idx=0; size=64,64,bytes,90833988.0,ns,138849
ser_account,cbor,idx=0; size=64,64,bytes,92305999.0,ns,140342
ser_account,cbor,idx=0; size=64,64,bytes,92516309.0,ns,141835
ser_account,cbor,idx=0; size=64,64,bytes,94601574.0,ns,143328
ser_account,cbor,idx=0; size=64,64,bytes,94846501.0,ns,144821
ser_account,cbor,idx=0; size=64,64,bytes,95351864.0,ns,146314
ser_account,cbor,idx=0; size=64,64,bytes,96572416.0,ns,147807
ser_account,cbor,idx=0; size=64,64,bytes,97327238.0,ns,149300
