group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ser_account,speedy,idx=4; size=64,64,bytes,1077956.0,ns,25942
ser_account,speedy,idx=4; size=64,64,bytes,1974688.0,ns,51884
ser_account,speedy,idx=4; size=64,64,bytes,2930615.0,ns,77826
ser_account,speedy,idx=4; size=64,64,bytes,3923115.0,ns,103768
ser_account,speedy,idx=4; size=64,64,bytes,4907743.0,ns,129710
ser_account,speedy,idx=4; size=64,64,bytes,6013988.0,ns,155652
ser_account,speedy,idx=4; size=64,64,bytes,6866798.0,ns,181594
ser_account,speedy,idx=4; size=64,64,bytes,7874458.0,ns,207536
ser_account,speedy,idx=4; size=64,64,bytes,8827337.0,ns,233478
ser_account,speedy,idx=4; size=64,64,bytes,9855043.0,ns,259420
ser_account,speedy,idx=4; size=64,64,bytes,10859154.0,ns,285362
ser_account,speedy,idx=4; size=64,64,bytes,12055253.0,ns,311304
ser_account,speedy,idx=4; size=64,64,bytes,12794450.0,ns,337246
ser_account,speedy,idx=4; size=64,64,bytes,13801464.0,ns,363188
ser_account,speedy,idx=4; size=64,64,bytes,14715578.0,ns,389130
ser_account,speedy,idx=4; size=64,64,bytes,15720458.0,ns,415072
ser_account,speedy,idx=4; size=64,64,bytes,16696588.0,ns,441014
ser_account,speedy,idx=4; size=64,64,bytes,17653226.0,ns,466956
ser_account,speedy,idx=4; size=64,64,bytes,18665898.0,ns,492898
ser_account,speedy,idx=4; size=64,64,bytes,19903813.0,ns,518840
ser_account,speedy,idx=4; size=64,64,bytes,20807295.0,ns,544782
ser_account,speedy,idx=4; size=64,64,bytes,21745549.0,ns,570724
ser_account,speedy,idx=4; size=64,64,bytes,22826037.0,ns,596666
ser_account,speedy,idx=4; size=64,64,bytes,23640543.0,ns,622608
ser_account,speedy,idx=4; size=64,64,bytes,24557065.0,ns,648550
ser_account,speedy,idx=4; size=64,64,bytes,25497871.0,ns,674492
ser_account,speedy,idx=4; size=64,64,bytes,26761195.0,ns,700434
ser_account,speedy,idx=4; size=64,64,bytes,27590891.0,ns,726376
ser_account,speedy,idx=4; size=64,64,bytes,28493848.0,ns,752318
