group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ser_account,speedy,idx=6; size=64,64,bytes,1066406.0,ns,25732
ser_account,speedy,idx=6; size=64,64,bytes,1972362.0,ns,51464
ser_account,speedy,idx=6; size=64,64,bytes,2943972.0,ns,77196
ser_account,speedy,idx=6; size=64,64,bytes,3906647.0,ns,102928
ser_account,speedy,idx=6; size=64,64,bytes,4901898.0,ns,128660
ser_account,speedy,idx=6; size=64,64,bytes,5871532.0,ns,154392
ser_account,speedy,idx=6; size=64,64,bytes,6825233.0,ns,180124
ser_account,speedy,idx=6; size=64,64,bytes,8103862.0,ns,205856
ser_account,speedy,idx=6; size=64,64,bytes,8899624.0,ns,231588
ser_account,speedy,idx=6; size=64,64,bytes,9862643.0,ns,257320
ser_account,speedy,idx=6; size=64,64,bytes,10907401.0,ns,283052
ser_account,speedy,idx=6; size=64,64,bytes,11844038.0,ns,308784
ser_account,speedy,idx=6; size=64,64,bytes,12857630.0,ns,334516
ser_account,speedy,idx=6; size=64,64,bytes,13750869.0,ns,360248
ser_account,speedy,idx=6; size=64,64,bytes,14734664.0,ns,385980
ser_account,speedy,idx=6; size=64,64,bytes,15661997.0,ns,411712
ser_account,speedy,idx=6; size=64,64,bytes,16616806.0,ns,437444
ser_account,speedy,idx=6; size=64,64,bytes,17687390.0,ns,463176
ser_account,speedy,idx=6; size=64,64,bytes,18527599.0,ns,488908
ser_account,speedy,idx=6; size=64,64,bytes,19910351.0,ns,514640
ser_account,speedy,idx=6; size=64,64,bytes,20692818.0,ns,540372
ser_account,speedy,idx=6; size=64,64,bytes,21928784.0,ns,566104
ser_account,speedy,idx=6; size=64,64,bytes,22926102.0,ns,591836
ser_account,speedy,idx=6; size=64,64,bytes,23440088.0,ns,617568
ser_account,speedy,idx=6; size=64,64,bytes,24463749.0,ns,643300
ser_account,speedy,idx=6; size=64,64,bytes,26296630.0,ns,669032
ser_account,speedy,idx=6; size=64,64,bytes,26569695.0,ns,694764
ser_account,speedy,idx=6; size=64,64,bytes,27475540.0,ns,720496
ser_account,speedy,idx=6; size=64,64,bytes,28348695.0,ns,746228
ser_account,speedy,idx=6; size=64,64,bytes,30171092.0,ns,771960
ser_account,speedy,idx=6; size=64,64,bytes,30377438.0,ns,797692
ser_account,speedy,idx=6; size=64,64,bytes,32159250.0,ns,823424
ser_account,speedy,idx=6; size=64,64,bytes,32498274.0,ns,849156
ser_account,speedy,idx=6; size=64,64,bytes,33536786.0,ns,874888
ser_account,speedy,idx=6; size=64,64,bytes,34779374.0,ns,900620
ser_account,speedy,idx=6; size=64,64,bytes,35303918.0,ns,926352
ser_account,speedy,idx=6; size=64,64,bytes,36210876.0,ns,952084
ser_account,speedy,idx=6; size=64,64,bytes,38104480.0,ns,977816
ser_account,speedy,idx=6; size=64,64,bytes,38243123.0,ns,1003548
ser_account,speedy,idx=6; size=64,64,bytes,39301075.0,ns,1029280
ser_account,speedy,idx=6; size=64,64,bytes,40716801.0,ns,1055012
ser_account,speedy,idx=6; size=64,64,bytes,41332974.0,ns,1080744
ser_account,speedy,idx=6; size=64,64,bytes,42669163.0,ns,1106476
ser_account,speedy,idx=6; size=64,64,bytes,43418601.0,ns,1132208
ser_account,speedy,idx=6; size=64,64,bytes,44187041.0,ns,1157940
ser_account,speedy,idx=6; size=64,64,bytes,44921245.0,ns,1183672
ser_account,speedy,idx=6; size=64,64,bytes,45920148.0,ns,1209404
ser_account,speedy,idx=6; size=64,64,bytes,46842052.0,ns,1235136
ser_account,speedy,idx=6; size=64,64,bytes,48660345.0,ns,1260868
ser_account,speedy,idx=6; size=64,64,bytes,49028457.0,ns,1286600
ser_account,speedy,idx=6; size=64,64,bytes,50875592.0,ns,1312332
ser_account,speedy,idx=6; size=64,64,bytes,51589513.0,ns,1338064
ser_account,speedy,idx=6; size=64,64,bytes,52343699.0,ns,1363796
ser_account,speedy,idx=6; size=64,64,bytes,53157767.0,ns,1389528
ser_account,speedy,idx=6; size=64,64,bytes,54642281.0,ns,1415260
ser_account,speedy,idx=6; size=64,64,bytes,55182049.0,ns,1440992
ser_account,speedy,idx=6; size=64,64,bytes,56768459.0,ns,1466724
ser_account,speedy,idx=6; size=64,64,bytes,57946711.0,ns,1492456
ser_account,speedy,idx=6; size=64,64,bytes,59641380.0,ns,1518188
ser_account,speedy,idx=6; size=64,64,bytes,59843376.0,ns,1543920
ser_account,speedy,idx=6; size=64,64,bytes,60111634.0,ns,1569652
ser_account,speedy,idx=6; size=64,64,bytes,61380994.0,ns,1595384
ser_account,speedy,idx=6; size=64,64,bytes,61896222.0,ns,1621116
ser_account,speedy,idx=6; size=64,64,bytes,64550010.0,ns,1646848
ser_account,speedy,idx=6; size=64,64,bytes,63795339.0,ns,1672580
ser_account,speedy,idx=6; size=64,64,bytes,64538626.0,ns,1698312
ser_account,speedy,idx=6; size=64,64,bytes,65476139.0,ns,1724044
ser_account,speedy,idx=6; size=64,64,bytes,66565399.0,ns,1749776
ser_account,speedy,idx=6; size=64,64,bytes,68032729.0,ns,1775508
ser_account,speedy,idx=6; size=64,64,bytes,69450093.0,ns,1801240
ser_account,speedy,idx=6; size=64,64,bytes,70420074.0,ns,1826972
ser_account,speedy,idx=6; size=64,64,bytes,71787746.0,ns,1852704
ser_account,speedy,idx=6; size=64,64,bytes,71947156.0,ns,1878436
ser_account,speedy,idx=6; size=64,64,bytes,73009909.0,ns,1904168
ser_account,speedy,idx=6; size=64,64,bytes,74024191.0,ns,1929900
ser_account,speedy,idx=6; size=64,64,bytes,74311258.0,ns,1955632
ser_account,speedy,idx=6; size=64,64,bytes,75747376.0,ns,1981364
ser_account,speedy,idx=6; size=64,64,bytes,77092655.0,ns,2007096
ser_account,speedy,idx=6; size=64,64,bytes,78554916.0,ns,2032828
ser_account,speedy,idx=6; size=64,64,bytes,79632331.0,ns,2058560
ser_account,speedy,idx=6; size=64,64,bytes,79765843.0,ns,2084292
ser_account,speedy,idx=6; size=64,64,bytes,81308242.0,ns,2110024
ser_account,speedy,idx=6; size=64,64,bytes,82002760.0,ns,2135756
ser_account,speedy,idx=6; size=64,64,bytes,82829190.0,ns,2161488
ser_account,speedy,idx=6; size=64,64,bytes,84316281.0,ns,2187220
ser_account,speedy,idx=6; size=64,64,bytes,84619790.0,ns,2212952
ser_account,speedy,idx=6; size=64,64,bytes,85705180.0,ns,2238684
ser_account,speedy,idx=6; size=64,64,bytes,87154495.0,ns,2264416
ser_account,speedy,idx=6; size=64,64,bytes,87379412.0,ns,2290148
ser_account,speedy,idx=6; size=64,64,bytes,88035941.0,ns,2315880
ser_account,speedy,idx=6; size=64,64,bytes,89803424.0,ns,2341612
ser_account,speedy,idx=6; size=64,64,bytes,91014618.0,ns,2367344
ser_account,speedy,idx=6; size=64,64,bytes,91435543.0,ns,2393076
ser_account,speedy,idx=6; size=64,64,bytes,92188212.0,ns,2418808
