group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ser_block,bincode,idx=8; size=3422080,3422080,bytes,17748007.0,ns,1
ser_block,bincode,idx=8; size=3422080,3422080,bytes,41120255.0,ns,2
ser_block,bincode,idx=8; size=3422080,3422080,bytes,52244654.0,ns,3
ser_block,bincode,idx=8; size=3422080,3422080,bytes,69504467.0,ns,4
ser_block,bincode,idx=8; size=3422080,3422080,bytes,87323470.0,ns,5
ser_block,bincode,idx=8; size=3422080,3422080,bytes,104121118.0,ns,6
ser_block,bincode,idx=8; size=3422080,3422080,bytes,122059934.0,ns,7
ser_block,bincode,idx=8; size=3422080,3422080,bytes,139140372.0,ns,8
ser_block,bincode,idx=8; size=3422080,3422080,bytes,165405520.0,ns,9
ser_block,bincode,idx=8; size=3422080,3422080,bytes,172721571.0,ns,10
ser_block,bincode,idx=8; size=3422080,3422080,bytes,188671912.0,ns,11
ser_block,bincode,idx=8; size=3422080,3422080,bytes,208830996.0,ns,12
ser_block,bincode,idx=8; size=3422080,3422080,bytes,239238637.0,ns,13
ser_block,bincode,idx=8; size=3422080,3422080,bytes,250443724.0,ns,14
ser_block,bincode,idx=8; size=3422080,3422080,bytes,260871989.0,ns,15
ser_block,bincode,idx=8; size=3422080,3422080,bytes,277864785.0,ns,16
ser_block,bincode,idx=8; size=3422080,3422080,bytes,295829822.0,ns,17
ser_block,bincode,idx=8; size=3422080,3422080,bytes,328316626.0,ns,18
ser_block,bincode,idx=8; size=3422080,3422080,bytes,339452858.0,ns,19
ser_block,bincode,idx=8; size=3422080,3422080,bytes,350275057.0,ns,20
ser_block,bincode,idx=8; size=3422080,3422080,bytes,373796083.0,ns,21
ser_block,bincode,idx=8; size=3422080,3422080,bytes,386905582.0,ns,22
ser_block,bincode,idx=8; size=3422080,3422080,bytes,412237749.0,ns,23
ser_block,bincode,idx=8; size=3422080,3422080,bytes,415040148.0,ns,24
ser_block,bincode,idx=8; size=3422080,3422080,bytes,442020517.0,ns,25
ser_block,bincode,idx=8; size=3422080,3422080,bytes,498825120.0,ns,26
ser_block,bincode,idx=8; size=3422080,3422080,bytes,467488356.0,ns,27
ser_block,bincode,idx=8; size=3422080,3422080,bytes,488400830.0,ns,28
ser_block,bincode,idx=8; size=3422080,3422080,bytes,513528073.0,ns,29
ser_block,bincode,idx=8; size=3422080,3422080,bytes,529820095.0,ns,30
ser_block,bincode,idx=8; size=3422080,3422080,bytes,535433320.0,ns,31
ser_block,bincode,idx=8; size=3422080,3422080,bytes,571053548.0,ns,32
ser_block,bincode,idx=8; size=3422080,3422080,bytes,566484762.0,ns,33
ser_block,bincode,idx=8; size=3422080,3422080,bytes,591774184.0,ns,34
ser_block,bincode,idx=8; size=3422080,3422080,bytes,616844090.0,ns,35
ser_block,bincode,idx=8; size=3422080,3422080,bytes,619442813.0,ns,36
ser_block,bincode,idx=8; size=3422080,3422080,bytes,654480537.0,ns,37
ser_block,bincode,idx=8; size=3422080,3422080,bytes,680014799.0,ns,38
ser_block,bincode,idx=8; size=3422080,3422080,bytes,682213848.0,ns,39
