group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ser_block,borsh,idx=2; size=3833307,3833307,bytes,22116021.0,ns,3
ser_block,borsh,idx=2; size=3833307,3833307,bytes,44339713.0,ns,6
ser_block,borsh,idx=2; size=3833307,3833307,bytes,66684678.0,ns,9
ser_block,borsh,idx=2; size=3833307,3833307,bytes,88194921.0,ns,12
ser_block,borsh,idx=2; size=3833307,3833307,bytes,109694403.0,ns,15
ser_block,borsh,idx=2; size=3833307,3833307,bytes,132681556.0,ns,18
ser_block,borsh,idx=2; size=3833307,3833307,bytes,155353000.0,ns,21
ser_block,borsh,idx=2; size=3833307,3833307,bytes,176970165.0,ns,24
ser_block,borsh,idx=2; size=3833307,3833307,bytes,198058943.0,ns,27
ser_block,borsh,idx=2; size=3833307,3833307,bytes,226923906.0,ns,30
