group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ser_block,borsh,idx=4; size=348484,348484,bytes,1242378.0,ns,4
ser_block,borsh,idx=4; size=348484,348484,bytes,2133162.0,ns,8
ser_block,borsh,idx=4; size=348484,348484,bytes,3216944.0,ns,12
ser_block,borsh,idx=4; size=348484,348484,bytes,4260629.0,ns,16
ser_block,borsh,idx=4; size=348484,348484,bytes,5378654.0,ns,20
ser_block,borsh,idx=4; size=348484,348484,bytes,6408488.0,ns,24
ser_block,borsh,idx=4; size=348484,348484,bytes,7518775.0,ns,28
ser_block,borsh,idx=4; size=348484,348484,bytes,8724177.0,ns,32
ser_block,borsh,idx=4; size=348484,348484,bytes,9664210.0,ns,36
ser_block,borsh,idx=4; size=348484,348484,bytes,10705545.0,ns,40
ser_block,borsh,idx=4; size=348484,348484,bytes,12146415.0,ns,44
ser_block,borsh,idx=4; size=348484,348484,bytes,13274426.0,ns,48
ser_block,borsh,idx=4; size=348484,348484,bytes,13987346.0,ns,52
ser_block,borsh,idx=4; size=348484,348484,bytes,15482888.0,ns,56
ser_block,borsh,idx=4; size=348484,348484,bytes,16458800.0,ns,60
ser_block,borsh,idx=4; size=348484,348484,bytes,17946902.0,ns,64
ser_block,borsh,idx=4; size=348484,348484,bytes,19074762.0,ns,68
ser_block,borsh,idx=4; size=348484,348484,bytes,19914349.0,ns,72
ser_block,borsh,idx=4; size=348484,348484,bytes,21175827.0,ns,76
ser_block,borsh,idx=4; size=348484,348484,bytes,22007089.0,ns,80
ser_block,borsh,idx=4; size=348484,348484,bytes,23208721.0,ns,84
ser_block,borsh,idx=4; size=348484,348484,bytes,24121485.0,ns,88
ser_block,borsh,idx=4; size=348484,348484,bytes,25604259.0,ns,92
ser_block,borsh,idx=4; size=348484,348484,bytes,26334841.0,ns,96
ser_block,borsh,idx=4; size=348484,348484,bytes,27410124.0,ns,100
ser_block,borsh,idx=4; size=348484,348484,bytes,29215128.0,ns,104
ser_block,borsh,idx=4; size=348484,348484,bytes,29719038.0,ns,108
ser_block,borsh,idx=4; size=348484,348484,bytes,30056496.0,ns,112
ser_block,borsh,idx=4; size=348484,348484,bytes,31073477.0,ns,116
ser_block,borsh,idx=4; size=348484,348484,bytes,32769020.0,ns,120
ser_block,borsh,idx=4; size=348484,348484,bytes,33554967.0,ns,124
ser_block,borsh,idx=4; size=348484,348484,bytes,34379382.0,ns,128
ser_block,borsh,idx=4; size=348484,348484,bytes,36057634.0,ns,132
ser_block,borsh,idx=4; size=348484,348484,bytes,36441183.0,ns,136
ser_block,borsh,idx=4; size=348484,348484,bytes,38114203.0,ns,140
ser_block,borsh,idx=4; size=348484,348484,bytes,39129317.0,ns,144
ser_block,borsh,idx=4; size=348484,348484,bytes,40432189.0,ns,148
ser_block,borsh,idx=4; size=348484,348484,bytes,40787701.0,ns,152
ser_block,borsh,idx=4; size=348484,348484,bytes,41682414.0,ns,156
ser_block,borsh,idx=4; size=348484,348484,bytes,43436144.0,ns,160
ser_block,borsh,idx=4; size=348484,348484,bytes,44204326.0,ns,164
ser_block,borsh,idx=4; size=348484,348484,bytes,44840056.0,ns,168
ser_block,borsh,idx=4; size=348484,348484,bytes,46388380.0,ns,172
ser_block,borsh,idx=4; size=348484,348484,bytes,47805600.0,ns,176
ser_block,borsh,idx=4; size=348484,348484,bytes,48035011.0,ns,180
ser_block,borsh,idx=4; size=348484,348484,bytes,49349043.0,ns,184
ser_block,borsh,idx=4; size=348484,348484,bytes,50894424.0,ns,188
ser_block,borsh,idx=4; size=348484,348484,bytes,51342171.0,ns,192
ser_block,borsh,idx=4; size=348484,348484,bytes,52663987.0,ns,196
ser_block,borsh,idx=4; size=348484,348484,bytes,54166267.0,ns,200
ser_block,borsh,idx=4; size=348484,348484,bytes,54925219.0,ns,204
ser_block,borsh,idx=4; size=348484,348484,bytes,56434333.0,ns,208
ser_block,borsh,idx=4; size=348484,348484,bytes,56809393.0,ns,212
ser_block,borsh,idx=4; size=348484,348484,bytes,58640877.0,ns,216
ser_block,borsh,idx=4; size=348484,348484,bytes,59843476.0,ns,220
ser_block,borsh,idx=4; size=348484,348484,bytes,59977666.0,ns,224
ser_block,borsh,idx=4; size=348484,348484,bytes,62378269.0,ns,228
ser_block,borsh,idx=4; size=348484,348484,bytes,62860478.0,ns,232
ser_block,borsh,idx=4; size=348484,348484,bytes,63282063.0,ns,236
ser_block,borsh,idx=4; size=348484,348484,bytes,64191078.0,ns,240
ser_block,borsh,idx=4; size=348484,348484,bytes,65217416.0,ns,244
ser_block,borsh,idx=4; size=348484,348484,bytes,67001893.0,ns,248
ser_block,borsh,idx=4; size=348484,348484,bytes,67464871.0,ns,252
