group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ser_block,borsh,idx=6; size=2809266,2809266,bytes,1190656.0,ns,1
ser_block,borsh,idx=6; size=2809266,2809266,bytes,2096083.0,ns,2
ser_block,borsh,idx=6; size=2809266,2809266,bytes,3126650.0,ns,3
ser_block,borsh,idx=6; size=2809266,2809266,bytes,4125019.0,ns,4
ser_block,borsh,idx=6; size=2809266,2809266,bytes,5129885.0,ns,5
ser_block,borsh,idx=6; size=2809266,2809266,bytes,6191957.0,ns,6
ser_block,borsh,idx=6; size=2809266,2809266,bytes,7348159.0,ns,7
ser_block,borsh,idx=6; size=2809266,2809266,bytes,8547541.0,ns,8
ser_block,borsh,idx=6; size=2809266,2809266,bytes,9323361.0,ns,9
ser_block,borsh,idx=6; size=2809266,2809266,bytes,10422946.0,ns,10
ser_block,borsh,idx=6; size=2809266,2809266,bytes,11421570.0,ns,11
ser_block,borsh,idx=6; size=2809266,2809266,bytes,12341181.0,ns,12
ser_block,borsh,idx=6; size=2809266,2809266,bytes,13831009.0,ns,13
ser_block,borsh,idx=6; size=2809266,2809266,bytes,15015455.0,ns,14
ser_block,borsh,idx=6; size=2809266,2809266,bytes,15811301.0,ns,15
ser_block,borsh,idx=6; size=2809266,2809266,bytes,16479122.0,ns,16
ser_block,borsh,idx=6; size=2809266,2809266,bytes,17463959.0,ns,17
ser_block,borsh,idx=6; size=2809266,2809266,bytes,18570872.0,ns,18
ser_block,borsh,idx=6; size=2809266,2809266,bytes,19437252.0,ns,19
ser_block,borsh,idx=6; size=2809266,2809266,bytes,20453360.0,ns,20
ser_block,borsh,idx=6; size=2809266,2809266,bytes,21430303.0,ns,21
ser_block,borsh,idx=6; size=2809266,2809266,bytes,22789351.0,ns,22
ser_block,borsh,idx=6; size=2809266,2809266,bytes,23916101.0,ns,23
ser_block,borsh,idx=6; size=2809266,2809266,bytes,25353325.0,ns,24
ser_block,borsh,idx=6; size=2809266,2809266,bytes,26044001.0,ns,25
ser_block,borsh,idx=6; size=2809266,2809266,bytes,27732259.0,ns,26
ser_block,borsh,idx=6; size=2809266,2809266,bytes,29103882.0,ns,27
ser_block,borsh,idx=6; size=2809266,2809266,bytes,29304222.0,ns,28
ser_block,borsh,idx=6; size=2809266,2809266,bytes,29902016.0,ns,29
ser_block,borsh,idx=6; size=2809266,2809266,bytes,31277077.0,ns,30
ser_block,borsh,idx=6; size=2809266,2809266,bytes,32011983.0,ns,31
ser_block,borsh,idx=6; size=2809266,2809266,bytes,33636531.0,ns,32
ser_block,borsh,idx=6; size=2809266,2809266,bytes,34408383.0,ns,33
ser_block,borsh,idx=6; size=2809266,2809266,bytes,35725216.0,ns,34
ser_block,borsh,idx=6; size=2809266,2809266,bytes,36617177.0,ns,35
ser_block,borsh,idx=6; size=2809266,2809266,bytes,36730333.0,ns,36
ser_block,borsh,idx=6; size=2809266,2809266,bytes,37646247.0,ns,37
ser_block,borsh,idx=6; size=2809266,2809266,bytes,38949100.0,ns,38
ser_block,borsh,idx=6; size=2809266,2809266,bytes,40278497.0,ns,39
ser_block,borsh,idx=6; size=2809266,2809266,bytes,41242929.0,ns,40
ser_block,borsh,idx=6; size=2809266,2809266,bytes,43476971.0,ns,41
ser_block,borsh,idx=6; size=2809266,2809266,bytes,43420471.0,ns,42
ser_block,borsh,idx=6; size=2809266,2809266,bytes,44945449.0,ns,43
ser_block,borsh,idx=6; size=2809266,2809266,bytes,46084967.0,ns,44
ser_block,borsh,idx=6; size=2809266,2809266,bytes,47070576.0,ns,45
ser_block,borsh,idx=6; size=2809266,2809266,bytes,47108713.0,ns,46
ser_block,borsh,idx=6; size=2809266,2809266,bytes,48246668.0,ns,47
