group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ser_block,cbor,idx=0; size=1056480,1056480,bytes,20799572.0,ns,3
ser_block,cbor,idx=0; size=1056480,1056480,bytes,41180077.0,ns,6
ser_block,cbor,idx=0; size=1056480,1056480,bytes,61956037.0,ns,9
ser_block,cbor,idx=0; size=1056480,1056480,bytes,82830771.0,ns,12
ser_block,cbor,idx=0; size=1056480,1056480,bytes,103229457.0,ns,15
ser_block,cbor,idx=0; size=1056480,1056480,bytes,123634806.0,ns,18
ser_block,cbor,idx=0; size=1056480,1056480,bytes,144571282.0,ns,21
ser_block,cbor,idx=0; size=1056480,1056480,bytes,165201593.0,ns,24
ser_block,cbor,idx=0; size=1056480,1056480,bytes,187180191.0,ns,27
ser_block,cbor,idx=0; size=1056480,1056480,bytes,206745238.0,ns,30
