group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ser_block,speedy,idx=2; size=3833307,3833307,bytes,1102504.0,ns,2
ser_block,speedy,idx=2; size=3833307,3833307,bytes,2047418.0,ns,4
ser_block,speedy,idx=2; size=3833307,3833307,bytes,3038293.0,ns,6
ser_block,speedy,idx=2; size=3833307,3833307,bytes,4544806.0,ns,8
ser_block,speedy,idx=2; size=3833307,3833307,bytes,5822698.0,ns,10
ser_block,speedy,idx=2; size=3833307,3833307,bytes,6500455.0,ns,12
ser_block,speedy,idx=2; size=3833307,3833307,bytes,7541043.0,ns,14
ser_block,speedy,idx=2; size=3833307,3833307,bytes,8367673.0,ns,16
ser_block,speedy,idx=2; size=3833307,3833307,bytes,9258542.0,ns,18
ser_block,speedy,idx=2; size=3833307,3833307,bytes,10435011.0,ns,20
ser_block,speedy,idx=2; size=3833307,3833307,bytes,12684512.0,ns,22
ser_block,speedy,idx=2; size=3833307,3833307,bytes,12408848.0,ns,24
ser_block,speedy,idx=2; size=3833307,3833307,bytes,13306551.0,ns,26
ser_block,speedy,idx=2; size=3833307,3833307,bytes,14385733.0,ns,28
ser_block,speedy,idx=2; size=3833307,3833307,bytes,15438132.0,ns,30
ser_block,speedy,idx=2; size=3833307,3833307,bytes,16682709.0,ns,32
ser_block,speedy,idx=2; size=3833307,3833307,bytes,17468391.0,ns,34
ser_block,speedy,idx=2; size=3833307,3833307,bytes,18435481.0,ns,36
ser_block,speedy,idx=2; size=3833307,3833307,bytes,19564921.0,ns,38
ser_block,speedy,idx=2; size=3833307,3833307,bytes,20912279.0,ns,40
ser_block,speedy,idx=2; size=3833307,3833307,bytes,21850749.0,ns,42
ser_block,speedy,idx=2; size=3833307,3833307,bytes,23184154.0,ns,44
ser_block,speedy,idx=2; size=3833307,3833307,bytes,23279617.0,ns,46
ser_block,speedy,idx=2; size=3833307,3833307,bytes,24516974.0,ns,48
ser_block,speedy,idx=2; size=3833307,3833307,bytes,27463018.0,ns,50
ser_block,speedy,idx=2; size=3833307,3833307,bytes,27015291.0,ns,52
ser_block,speedy,idx=2; size=3833307,3833307,bytes,28341033.0,ns,54
ser_block,speedy,idx=2; size=3833307,3833307,bytes,29284342.0,ns,56
ser_block,speedy,idx=2; size=3833307,3833307,bytes,30063861.0,ns,58
ser_block,speedy,idx=2; size=3833307,3833307,bytes,31162062.0,ns,60
ser_block,speedy,idx=2; size=3833307,3833307,bytes,33422559.0,ns,62
ser_block,speedy,idx=2; size=3833307,3833307,bytes,34622034.0,ns,64
ser_block,speedy,idx=2; size=3833307,3833307,bytes,35654778.0,ns,66
ser_block,speedy,idx=2; size=3833307,3833307,bytes,36139144.0,ns,68
ser_block,speedy,idx=2; size=3833307,3833307,bytes,37272288.0,ns,70
ser_block,speedy,idx=2; size=3833307,3833307,bytes,39199326.0,ns,72
ser_block,speedy,idx=2; size=3833307,3833307,bytes,39177139.0,ns,74
ser_block,speedy,idx=2; size=3833307,3833307,bytes,39129734.0,ns,76
ser_block,speedy,idx=2; size=3833307,3833307,bytes,40066126.0,ns,78
ser_block,speedy,idx=2; size=3833307,3833307,bytes,41623362.0,ns,80
ser_block,speedy,idx=2; size=3833307,3833307,bytes,43143272.0,ns,82
ser_block,speedy,idx=2; size=3833307,3833307,bytes,43902018.0,ns,84
ser_block,speedy,idx=2; size=3833307,3833307,bytes,43842367.0,ns,86
ser_block,speedy,idx=2; size=3833307,3833307,bytes,47270602.0,ns,88
ser_block,speedy,idx=2; size=3833307,3833307,bytes,46498199.0,ns,90
ser_block,speedy,idx=2; size=3833307,3833307,bytes,48034199.0,ns,92
ser_block,speedy,idx=2; size=3833307,3833307,bytes,49276561.0,ns,94
ser_block,speedy,idx=2; size=3833307,3833307,bytes,49639236.0,ns,96
ser_block,speedy,idx=2; size=3833307,3833307,bytes,50862228.0,ns,98
ser_block,speedy,idx=2; size=3833307,3833307,bytes,53499740.0,ns,100
ser_block,speedy,idx=2; size=3833307,3833307,bytes,52295463.0,ns,102
ser_block,speedy,idx=2; size=3833307,3833307,bytes,54607621.0,ns,104
ser_block,speedy,idx=2; size=3833307,3833307,bytes,54499611.0,ns,106
ser_block,speedy,idx=2; size=3833307,3833307,bytes,57723933.0,ns,108
ser_block,speedy,idx=2; size=3833307,3833307,bytes,58804763.0,ns,110
ser_block,speedy,idx=2; size=3833307,3833307,bytes,61406645.0,ns,112
ser_block,speedy,idx=2; size=3833307,3833307,bytes,61731455.0,ns,114
ser_block,speedy,idx=2; size=3833307,3833307,bytes,63562300.0,ns,116
ser_block,speedy,idx=2; size=3833307,3833307,bytes,62293326.0,ns,118
ser_block,speedy,idx=2; size=3833307,3833307,bytes,65275443.0,ns,120
ser_block,speedy,idx=2; size=3833307,3833307,bytes,66165920.0,ns,122
ser_block,speedy,idx=2; size=3833307,3833307,bytes,63698136.0,ns,124
ser_block,speedy,idx=2; size=3833307,3833307,bytes,67054493.0,ns,126
ser_block,speedy,idx=2; size=3833307,3833307,bytes,68228941.0,ns,128
ser_block,speedy,idx=2; size=3833307,3833307,bytes,68257942.0,ns,130
ser_block,speedy,idx=2; size=3833307,3833307,bytes,67805942.0,ns,132
ser_block,speedy,idx=2; size=3833307,3833307,bytes,71017258.0,ns,134
ser_block,speedy,idx=2; size=3833307,3833307,bytes,69069093.0,ns,136
ser_block,speedy,idx=2; size=3833307,3833307,bytes,72085106.0,ns,138
ser_block,speedy,idx=2; size=3833307,3833307,bytes,73054402.0,ns,140
ser_block,speedy,idx=2; size=3833307,3833307,bytes,74294918.0,ns,142
ser_block,speedy,idx=2; size=3833307,3833307,bytes,75783013.0,ns,144
ser_block,speedy,idx=2; size=3833307,3833307,bytes,77730916.0,ns,146
ser_block,speedy,idx=2; size=3833307,3833307,bytes,77265599.0,ns,148
ser_block,speedy,idx=2; size=3833307,3833307,bytes,78465508.0,ns,150
ser_block,speedy,idx=2; size=3833307,3833307,bytes,80246045.0,ns,152
ser_block,speedy,idx=2; size=3833307,3833307,bytes,80708008.0,ns,154
ser_block,speedy,idx=2; size=3833307,3833307,bytes,81565192.0,ns,156
ser_block,speedy,idx=2; size=3833307,3833307,bytes,82885373.0,ns,158
ser_block,speedy,idx=2; size=3833307,3833307,bytes,82197151.0,ns,160
ser_block,speedy,idx=2; size=3833307,3833307,bytes,84609509.0,ns,162
ser_block,speedy,idx=2; size=3833307,3833307,bytes,89951792.0,ns,164
ser_block,speedy,idx=2; size=3833307,3833307,bytes,89486449.0,ns,166
ser_block,speedy,idx=2; size=3833307,3833307,bytes,90088429.0,ns,168
ser_block,speedy,idx=2; size=3833307,3833307,bytes,87445727.0,ns,170
ser_block,speedy,idx=2; size=3833307,3833307,bytes,90598438.0,ns,172
ser_block,speedy,idx=2; size=3833307,3833307,bytes,89842452.0,ns,174
ser_block,speedy,idx=2; size=3833307,3833307,bytes,93149905.0,ns,176
ser_block,speedy,idx=2; size=3833307,3833307,bytes,94138179.0,ns,178
ser_block,speedy,idx=2; size=3833307,3833307,bytes,93175042.0,ns,180
ser_block,speedy,idx=2; size=3833307,3833307,bytes,95395953.0,ns,182
ser_block,speedy,idx=2; size=3833307,3833307,bytes,97276397.0,ns,184
ser_block,speedy,idx=2; size=3833307,3833307,bytes,103205175.0,ns,186
ser_block,speedy,idx=2; size=3833307,3833307,bytes,102918842.0,ns,188
ser_block,speedy,idx=2; size=3833307,3833307,bytes,103329279.0,ns,190
ser_block,speedy,idx=2; size=3833307,3833307,bytes,99235805.0,ns,192
ser_block,speedy,idx=2; size=3833307,3833307,bytes,104167539.0,ns,194
ser_block,speedy,idx=2; size=3833307,3833307,bytes,102418567.0,ns,196
ser_block,speedy,idx=2; size=3833307,3833307,bytes,104455895.0,ns,198
ser_block,speedy,idx=2; size=3833307,3833307,bytes,105940604.0,ns,200
