group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ser_header,bincode,idx=2; size=145612,145612,bytes,1320546.0,ns,4
ser_header,bincode,idx=2; size=145612,145612,bytes,2167132.0,ns,8
ser_header,bincode,idx=2; size=145612,145612,bytes,3208165.0,ns,12
ser_header,bincode,idx=2; size=145612,145612,bytes,4286424.0,ns,16
ser_header,bincode,idx=2; size=145612,145612,bytes,5363403.0,ns,20
ser_header,bincode,idx=2; size=145612,145612,bytes,6433063.0,ns,24
ser_header,bincode,idx=2; size=145612,145612,bytes,7500996.0,ns,28
ser_header,bincode,idx=2; size=145612,145612,bytes,8603543.0,ns,32
ser_header,bincode,idx=2; size=145612,145612,bytes,9602365.0,ns,36
ser_header,bincode,idx=2; size=145612,145612,bytes,10698642.0,ns,40
ser_header,bincode,idx=2; size=145612,145612,bytes,11750129.0,ns,44
ser_header,bincode,idx=2; size=145612,145612,bytes,12836955.0,ns,48
ser_header,bincode,idx=2; size=145612,145612,bytes,13896606.0,ns,52
ser_header,bincode,idx=2; size=145612,145612,bytes,15207890.0,ns,56
ser_header,bincode,idx=2; size=145612,145612,bytes,16089700.0,ns,60
ser_header,bincode,idx=2; size=145612,145612,bytes,17066039.0,ns,64
ser_header,bincode,idx=2; size=145612,145612,bytes,18158874.0,ns,68
ser_header,bincode,idx=2; size=145612,145612,bytes,19214442.0,ns,72
ser_header,bincode,idx=2; size=145612,145612,bytes,20263876.0,ns,76
ser_header,bincode,idx=2; size=145612,145612,bytes,21434795.0,ns,80
ser_header,bincode,idx=2; size=145612,145612,bytes,22416816.0,ns,84
ser_header,bincode,idx=2; size=145612,145612,bytes,23447049.0,ns,88
ser_header,bincode,idx=2; size=145612,145612,bytes,24574184.0,ns,92
ser_header,bincode,idx=2; size=145612,145612,bytes,25874182.0,ns,96
ser_header,bincode,idx=2; size=145612,145612,bytes,26812069.0,ns,100
ser_header,bincode,idx=2; size=145612,145612,bytes,27759651.0,ns,104
ser_header,bincode,idx=2; size=145612,145612,bytes,31079264.0,ns,108
ser_header,bincode,idx=2; size=145612,145612,bytes,41432701.0,ns,112
ser_header,bincode,idx=2; size=145612,145612,bytes,31261665.0,ns,116
ser_header,bincode,idx=2; size=145612,145612,bytes,32075021.0,ns,120
ser_header,bincode,idx=2; size=145612,145612,bytes,33087967.0,ns,124
ser_header,bincode,idx=2; size=145612,145612,bytes,34233666.0,ns,128
ser_header,bincode,idx=2; size=145612,145612,bytes,40401564.0,ns,132
ser_header,bincode,idx=2; size=145612,145612,bytes,45717712.0,ns,136
ser_header,bincode,idx=2; size=145612,145612,bytes,47411984.0,ns,140
ser_header,bincode,idx=2; size=145612,145612,bytes,48600072.0,ns,144
ser_header,bincode,idx=2; size=145612,145612,bytes,48701284.0,ns,148
ser_header,bincode,idx=2; size=145612,145612,bytes,40849305.0,ns,152
ser_header,bincode,idx=2; size=145612,145612,bytes,41779692.0,ns,156
ser_header,bincode,idx=2; size=145612,145612,bytes,42884549.0,ns,160
ser_header,bincode,idx=2; size=145612,145612,bytes,44201443.0,ns,164
ser_header,bincode,idx=2; size=145612,145612,bytes,44966043.0,ns,168
ser_header,bincode,idx=2; size=145612,145612,bytes,45962473.0,ns,172
ser_header,bincode,idx=2; size=145612,145612,bytes,47206390.0,ns,176
ser_header,bincode,idx=2; size=145612,145612,bytes,48120319.0,ns,180
ser_header,bincode,idx=2; size=145612,145612,bytes,49151126.0,ns,184
ser_header,bincode,idx=2; size=145612,145612,bytes,50251554.0,ns,188
ser_header,bincode,idx=2; size=145612,145612,bytes,52214831.0,ns,192
ser_header,bincode,idx=2; size=145612,145612,bytes,57629346.0,ns,196
ser_header,bincode,idx=2; size=145612,145612,bytes,59690283.0,ns,200
ser_header,bincode,idx=2; size=145612,145612,bytes,56207789.0,ns,204
ser_header,bincode,idx=2; size=145612,145612,bytes,55584102.0,ns,208
ser_header,bincode,idx=2; size=145612,145612,bytes,56989509.0,ns,212
ser_header,bincode,idx=2; size=145612,145612,bytes,60366248.0,ns,216
ser_header,bincode,idx=2; size=145612,145612,bytes,59137992.0,ns,220
ser_header,bincode,idx=2; size=145612,145612,bytes,59837546.0,ns,224
ser_header,bincode,idx=2; size=145612,145612,bytes,61176931.0,ns,228
ser_header,bincode,idx=2; size=145612,145612,bytes,61980696.0,ns,232
ser_header,bincode,idx=2; size=145612,145612,bytes,69331960.0,ns,236
ser_header,bincode,idx=2; size=145612,145612,bytes,64031409.0,ns,240
ser_header,bincode,idx=2; size=145612,145612,bytes,65061501.0,ns,244
ser_header,bincode,idx=2; size=145612,145612,bytes,66371862.0,ns,248
ser_header,bincode,idx=2; size=145612,145612,bytes,67193962.0,ns,252
ser_header,bincode,idx=2; size=145612,145612,bytes,68341770.0,ns,256
ser_header,bincode,idx=2; size=145612,145612,bytes,69334617.0,ns,260
ser_header,bincode,idx=2; size=145612,145612,bytes,75220912.0,ns,264
ser_header,bincode,idx=2; size=145612,145612,bytes,74363497.0,ns,268
ser_header,bincode,idx=2; size=145612,145612,bytes,73784396.0,ns,272
ser_header,bincode,idx=2; size=145612,145612,bytes,74132512.0,ns,276
ser_header,bincode,idx=2; size=145612,145612,bytes,75105956.0,ns,280
ser_header,bincode,idx=2; size=145612,145612,bytes,76001351.0,ns,284
ser_header,bincode,idx=2; size=145612,145612,bytes,83230996.0,ns,288
ser_header,bincode,idx=2; size=145612,145612,bytes,78185963.0,ns,292
ser_header,bincode,idx=2; size=145612,145612,bytes,79887142.0,ns,296
ser_header,bincode,idx=2; size=145612,145612,bytes,80408179.0,ns,300
ser_header,bincode,idx=2; size=145612,145612,bytes,81464134.0,ns,304
ser_header,bincode,idx=2; size=145612,145612,bytes,82554623.0,ns,308
ser_header,bincode,idx=2; size=145612,145612,bytes,83743035.0,ns,312
ser_header,bincode,idx=2; size=145612,145612,bytes,99385116.0,ns,316
ser_header,bincode,idx=2; size=145612,145612,bytes,86077204.0,ns,320
ser_header,bincode,idx=2; size=145612,145612,bytes,90005601.0,ns,324
ser_header,bincode,idx=2; size=145612,145612,bytes,88186468.0,ns,328
ser_header,bincode,idx=2; size=145612,145612,bytes,88905089.0,ns,332
ser_header,bincode,idx=2; size=145612,145612,bytes,90090413.0,ns,336
ser_header,bincode,idx=2; size=145612,145612,bytes,91005859.0,ns,340
ser_header,bincode,idx=2; size=145612,145612,bytes,91965659.0,ns,344
ser_header,bincode,idx=2; size=145612,145612,bytes,93052939.0,ns,348
ser_header,bincode,idx=2; size=145612,145612,bytes,93913184.0,ns,352
ser_header,bincode,idx=2; size=145612,145612,bytes,101039977.0,ns,356
ser_header,bincode,idx=2; size=145612,145612,bytes,103779362.0,ns,360
ser_header,bincode,idx=2; size=145612,145612,bytes,98305121.0,ns,364
ser_header,bincode,idx=2; size=145612,145612,bytes,98695334.0,ns,368
ser_header,bincode,idx=2; size=145612,145612,bytes,99754137.0,ns,372
ser_header,bincode,idx=2; size=145612,145612,bytes,100850982.0,ns,376
ser_header,bincode,idx=2; size=145612,145612,bytes,107751792.0,ns,380
