group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ser_header,bincode,idx=5; size=37392,37392,bytes,1151715.0,ns,11
ser_header,bincode,idx=5; size=37392,37392,bytes,2066157.0,ns,22
ser_header,bincode,idx=5; size=37392,37392,bytes,3084797.0,ns,33
ser_header,bincode,idx=5; size=37392,37392,bytes,4184393.0,ns,44
ser_header,bincode,idx=5; size=37392,37392,bytes,5156466.0,ns,55
ser_header,bincode,idx=5; size=37392,37392,bytes,6182341.0,ns,66
ser_header,bincode,idx=5; size=37392,37392,bytes,7202125.0,ns,77
ser_header,bincode,idx=5; size=37392,37392,bytes,8248347.0,ns,88
ser_header,bincode,idx=5; size=37392,37392,bytes,9669217.0,ns,99
ser_header,bincode,idx=5; size=37392,37392,bytes,10491310.0,ns,110
ser_header,bincode,idx=5; size=37392,37392,bytes,11436153.0,ns,121
ser_header,bincode,idx=5; size=37392,37392,bytes,12444839.0,ns,132
ser_header,bincode,idx=5; size=37392,37392,bytes,13416931.0,ns,143
ser_header,bincode,idx=5; size=37392,37392,bytes,14556687.0,ns,154
ser_header,bincode,idx=5; size=37392,37392,bytes,15709815.0,ns,165
ser_header,bincode,idx=5; size=37392,37392,bytes,16576306.0,ns,176
ser_header,bincode,idx=5; size=37392,37392,bytes,17940524.0,ns,187
ser_header,bincode,idx=5; size=37392,37392,bytes,18823657.0,ns,198
ser_header,bincode,idx=5; size=37392,37392,bytes,19653925.0,ns,209
ser_header,bincode,idx=5; size=37392,37392,bytes,20636598.0,ns,220
ser_header,bincode,idx=5; size=37392,37392,bytes,21970781.0,ns,231
ser_header,bincode,idx=5; size=37392,37392,bytes,23265499.0,ns,242
ser_header,bincode,idx=5; size=37392,37392,bytes,23839481.0,ns,253
ser_header,bincode,idx=5; size=37392,37392,bytes,24876797.0,ns,264
ser_header,bincode,idx=5; size=37392,37392,bytes,25862890.0,ns,275
ser_header,bincode,idx=5; size=37392,37392,bytes,26846767.0,ns,286
ser_header,bincode,idx=5; size=37392,37392,bytes,28128782.0,ns,297
ser_header,bincode,idx=5; size=37392,37392,bytes,29147415.0,ns,308
ser_header,bincode,idx=5; size=37392,37392,bytes,29956955.0,ns,319
ser_header,bincode,idx=5; size=37392,37392,bytes,30953458.0,ns,330
ser_header,bincode,idx=5; size=37392,37392,bytes,32032591.0,ns,341
ser_header,bincode,idx=5; size=37392,37392,bytes,33783862.0,ns,352
ser_header,bincode,idx=5; size=37392,37392,bytes,34174109.0,ns,363
ser_header,bincode,idx=5; size=37392,37392,bytes,35127537.0,ns,374
ser_header,bincode,idx=5; size=37392,37392,bytes,37046996.0,ns,385
ser_header,bincode,idx=5; size=37392,37392,bytes,37488903.0,ns,396
ser_header,bincode,idx=5; size=37392,37392,bytes,38576566.0,ns,407
ser_header,bincode,idx=5; size=37392,37392,bytes,39313227.0,ns,418
ser_header,bincode,idx=5; size=37392,37392,bytes,40214113.0,ns,429
ser_header,bincode,idx=5; size=37392,37392,bytes,41980689.0,ns,440
ser_header,bincode,idx=5; size=37392,37392,bytes,42533054.0,ns,451
ser_header,bincode,idx=5; size=37392,37392,bytes,43283605.0,ns,462
ser_header,bincode,idx=5; size=37392,37392,bytes,44300669.0,ns,473
ser_header,bincode,idx=5; size=37392,37392,bytes,45380954.0,ns,484
ser_header,bincode,idx=5; size=37392,37392,bytes,46986383.0,ns,495
ser_header,bincode,idx=5; size=37392,37392,bytes,47744554.0,ns,506
ser_header,bincode,idx=5; size=37392,37392,bytes,48893781.0,ns,517
ser_header,bincode,idx=5; size=37392,37392,bytes,50302948.0,ns,528
ser_header,bincode,idx=5; size=37392,37392,bytes,51374243.0,ns,539
ser_header,bincode,idx=5; size=37392,37392,bytes,51839607.0,ns,550
ser_header,bincode,idx=5; size=37392,37392,bytes,53004184.0,ns,561
ser_header,bincode,idx=5; size=37392,37392,bytes,53705713.0,ns,572
ser_header,bincode,idx=5; size=37392,37392,bytes,55236285.0,ns,583
ser_header,bincode,idx=5; size=37392,37392,bytes,56645387.0,ns,594
ser_header,bincode,idx=5; size=37392,37392,bytes,57359955.0,ns,605
ser_header,bincode,idx=5; size=37392,37392,bytes,58316747.0,ns,616
ser_header,bincode,idx=5; size=37392,37392,bytes,59170711.0,ns,627
ser_header,bincode,idx=5; size=37392,37392,bytes,59859051.0,ns,638
ser_header,bincode,idx=5; size=37392,37392,bytes,61569745.0,ns,649
ser_header,bincode,idx=5; size=37392,37392,bytes,62756993.0,ns,660
ser_header,bincode,idx=5; size=37392,37392,bytes,63228228.0,ns,671
ser_header,bincode,idx=5; size=37392,37392,bytes,64667386.0,ns,682
ser_header,bincode,idx=5; size=37392,37392,bytes,65980429.0,ns,693
ser_header,bincode,idx=5; size=37392,37392,bytes,67038370.0,ns,704
ser_header,bincode,idx=5; size=37392,37392,bytes,68374857.0,ns,715
ser_header,bincode,idx=5; size=37392,37392,bytes,69438456.0,ns,726
ser_header,bincode,idx=5; size=37392,37392,bytes,70179174.0,ns,737
ser_header,bincode,idx=5; size=37392,37392,bytes,71794864.0,ns,748
ser_header,bincode,idx=5; size=37392,37392,bytes,71922077.0,ns,759
ser_header,bincode,idx=5; size=37392,37392,bytes,73095222.0,ns,770
ser_header,bincode,idx=5; size=37392,37392,bytes,73649088.0,ns,781
ser_header,bincode,idx=5; size=37392,37392,bytes,75625847.0,ns,792
ser_header,bincode,idx=5; size=37392,37392,bytes,76394285.0,ns,803
ser_header,bincode,idx=5; size=37392,37392,bytes,77850410.0,ns,814
ser_header,bincode,idx=5; size=37392,37392,bytes,77673959.0,ns,825
ser_header,bincode,idx=5; size=37392,37392,bytes,79280728.0,ns,836
ser_header,bincode,idx=5; size=37392,37392,bytes,79664722.0,ns,847
ser_header,bincode,idx=5; size=37392,37392,bytes,80806395.0,ns,858
ser_header,bincode,idx=5; size=37392,37392,bytes,83338637.0,ns,869
ser_header,bincode,idx=5; size=37392,37392,bytes,83496192.0,ns,880
ser_header,bincode,idx=5; size=37392,37392,bytes,85248640.0,ns,891
ser_header,bincode,idx=5; size=37392,37392,bytes,85475340.0,ns,902
ser_header,bincode,idx=5; size=37392,37392,bytes,86788680.0,ns,913
ser_header,bincode,idx=5; size=37392,37392,bytes,87187645.0,ns,924
ser_header,bincode,idx=5; size=37392,37392,bytes,89020533.0,ns,935
ser_header,bincode,idx=5; size=37392,37392,bytes,89346092.0,ns,946
ser_header,bincode,idx=5; size=37392,37392,bytes,91478272.0,ns,957
ser_header,bincode,idx=5; size=37392,37392,bytes,92177712.0,ns,968
ser_header,bincode,idx=5; size=37392,37392,bytes,92066986.0,ns,979
ser_header,bincode,idx=5; size=37392,37392,bytes,93157250.0,ns,990
ser_header,bincode,idx=5; size=37392,37392,bytes,95347506.0,ns,1001
ser_header,bincode,idx=5; size=37392,37392,bytes,96470772.0,ns,1012
ser_header,bincode,idx=5; size=37392,37392,bytes,96967176.0,ns,1023
ser_header,bincode,idx=5; size=37392,37392,bytes,98107391.0,ns,1034
ser_header,bincode,idx=5; size=37392,37392,bytes,99046959.0,ns,1045
ser_header,bincode,idx=5; size=37392,37392,bytes,100219524.0,ns,1056
ser_header,bincode,idx=5; size=37392,37392,bytes,100681301.0,ns,1067
ser_header,bincode,idx=5; size=37392,37392,bytes,103501840.0,ns,1078
ser_header,bincode,idx=5; size=37392,37392,bytes,104327238.0,ns,1089
ser_header,bincode,idx=5; size=37392,37392,bytes,104763682.0,ns,1100
