group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ser_header,borsh,idx=2; size=145612,145612,bytes,1126936.0,ns,43
ser_header,borsh,idx=2; size=145612,145612,bytes,1999180.0,ns,86
ser_header,borsh,idx=2; size=145612,145612,bytes,3006325.0,ns,129
ser_header,borsh,idx=2; size=145612,145612,bytes,4097079.0,ns,172
ser_header,borsh,idx=2; size=145612,145612,bytes,4998112.0,ns,215
ser_header,borsh,idx=2; size=145612,145612,bytes,5944999.0,ns,258
ser_header,borsh,idx=2; size=145612,145612,bytes,7354823.0,ns,301
ser_header,borsh,idx=2; size=145612,145612,bytes,7972837.0,ns,344
ser_header,borsh,idx=2; size=145612,145612,bytes,8947184.0,ns,387
ser_header,borsh,idx=2; size=145612,145612,bytes,9866883.0,ns,430
ser_header,borsh,idx=2; size=145612,145612,bytes,11067240.0,ns,473
ser_header,borsh,idx=2; size=145612,145612,bytes,12841828.0,ns,516
ser_header,borsh,idx=2; size=145612,145612,bytes,14266508.0,ns,559
ser_header,borsh,idx=2; size=145612,145612,bytes,14687272.0,ns,602
ser_header,borsh,idx=2; size=145612,145612,bytes,14760210.0,ns,645
ser_header,borsh,idx=2; size=145612,145612,bytes,15798908.0,ns,688
ser_header,borsh,idx=2; size=145612,145612,bytes,16989112.0,ns,731
ser_header,borsh,idx=2; size=145612,145612,bytes,18107091.0,ns,774
ser_header,borsh,idx=2; size=145612,145612,bytes,18639659.0,ns,817
ser_header,borsh,idx=2; size=145612,145612,bytes,19690434.0,ns,860
ser_header,borsh,idx=2; size=145612,145612,bytes,20663025.0,ns,903
ser_header,borsh,idx=2; size=145612,145612,bytes,22603341.0,ns,946
ser_header,borsh,idx=2; size=145612,145612,bytes,23650747.0,ns,989
ser_header,borsh,idx=2; size=145612,145612,bytes,23622693.0,ns,1032
ser_header,borsh,idx=2; size=145612,145612,bytes,24631581.0,ns,1075
ser_header,borsh,idx=2; size=145612,145612,bytes,25592713.0,ns,1118
ser_header,borsh,idx=2; size=145612,145612,bytes,27176367.0,ns,1161
ser_header,borsh,idx=2; size=145612,145612,bytes,28294234.0,ns,1204
ser_header,borsh,idx=2; size=145612,145612,bytes,28787041.0,ns,1247
ser_header,borsh,idx=2; size=145612,145612,bytes,29539950.0,ns,1290
ser_header,borsh,idx=2; size=145612,145612,bytes,30601204.0,ns,1333
ser_header,borsh,idx=2; size=145612,145612,bytes,31533690.0,ns,1376
ser_header,borsh,idx=2; size=145612,145612,bytes,32560948.0,ns,1419
ser_header,borsh,idx=2; size=145612,145612,bytes,33514503.0,ns,1462
ser_header,borsh,idx=2; size=145612,145612,bytes,35095606.0,ns,1505
ser_header,borsh,idx=2; size=145612,145612,bytes,37023814.0,ns,1548
ser_header,borsh,idx=2; size=145612,145612,bytes,36609382.0,ns,1591
ser_header,borsh,idx=2; size=145612,145612,bytes,38690025.0,ns,1634
ser_header,borsh,idx=2; size=145612,145612,bytes,39137956.0,ns,1677
ser_header,borsh,idx=2; size=145612,145612,bytes,40038511.0,ns,1720
ser_header,borsh,idx=2; size=145612,145612,bytes,40367051.0,ns,1763
ser_header,borsh,idx=2; size=145612,145612,bytes,41401021.0,ns,1806
ser_header,borsh,idx=2; size=145612,145612,bytes,43080671.0,ns,1849
ser_header,borsh,idx=2; size=145612,145612,bytes,44219005.0,ns,1892
ser_header,borsh,idx=2; size=145612,145612,bytes,44231456.0,ns,1935
ser_header,borsh,idx=2; size=145612,145612,bytes,45282221.0,ns,1978
ser_header,borsh,idx=2; size=145612,145612,bytes,46176244.0,ns,2021
ser_header,borsh,idx=2; size=145612,145612,bytes,47927282.0,ns,2064
ser_header,borsh,idx=2; size=145612,145612,bytes,48763751.0,ns,2107
ser_header,borsh,idx=2; size=145612,145612,bytes,49279056.0,ns,2150
ser_header,borsh,idx=2; size=145612,145612,bytes,51255382.0,ns,2193
ser_header,borsh,idx=2; size=145612,145612,bytes,51810743.0,ns,2236
ser_header,borsh,idx=2; size=145612,145612,bytes,52286612.0,ns,2279
ser_header,borsh,idx=2; size=145612,145612,bytes,53899850.0,ns,2322
ser_header,borsh,idx=2; size=145612,145612,bytes,54026163.0,ns,2365
ser_header,borsh,idx=2; size=145612,145612,bytes,54967836.0,ns,2408
ser_header,borsh,idx=2; size=145612,145612,bytes,56039881.0,ns,2451
ser_header,borsh,idx=2; size=145612,145612,bytes,57916112.0,ns,2494
ser_header,borsh,idx=2; size=145612,145612,bytes,58466873.0,ns,2537
ser_header,borsh,idx=2; size=145612,145612,bytes,60452239.0,ns,2580
ser_header,borsh,idx=2; size=145612,145612,bytes,60527645.0,ns,2623
ser_header,borsh,idx=2; size=145612,145612,bytes,61201011.0,ns,2666
ser_header,borsh,idx=2; size=145612,145612,bytes,63310706.0,ns,2709
ser_header,borsh,idx=2; size=145612,145612,bytes,63122761.0,ns,2752
ser_header,borsh,idx=2; size=145612,145612,bytes,63941387.0,ns,2795
ser_header,borsh,idx=2; size=145612,145612,bytes,64854165.0,ns,2838
ser_header,borsh,idx=2; size=145612,145612,bytes,66995884.0,ns,2881
ser_header,borsh,idx=2; size=145612,145612,bytes,67778033.0,ns,2924
ser_header,borsh,idx=2; size=145612,145612,bytes,69506024.0,ns,2967
ser_header,borsh,idx=2; size=145612,145612,bytes,68891081.0,ns,3010
ser_header,borsh,idx=2; size=145612,145612,bytes,71102894.0,ns,3053
ser_header,borsh,idx=2; size=145612,145612,bytes,72094095.0,ns,3096
ser_header,borsh,idx=2; size=145612,145612,bytes,72903659.0,ns,3139
ser_header,borsh,idx=2; size=145612,145612,bytes,74229140.0,ns,3182
ser_header,borsh,idx=2; size=145612,145612,bytes,74566811.0,ns,3225
ser_header,borsh,idx=2; size=145612,145612,bytes,75713806.0,ns,3268
ser_header,borsh,idx=2; size=145612,145612,bytes,76604850.0,ns,3311
ser_header,borsh,idx=2; size=145612,145612,bytes,77042673.0,ns,3354
ser_header,borsh,idx=2; size=145612,145612,bytes,78204119.0,ns,3397
ser_header,borsh,idx=2; size=145612,145612,bytes,78981650.0,ns,3440
ser_header,borsh,idx=2; size=145612,145612,bytes,81108752.0,ns,3483
ser_header,borsh,idx=2; size=145612,145612,bytes,81464384.0,ns,3526
ser_header,borsh,idx=2; size=145612,145612,bytes,83503565.0,ns,3569
