group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ser_header,borsh,idx=6; size=56478,56478,bytes,18596256.0,ns,600
ser_header,borsh,idx=6; size=56478,56478,bytes,36460982.0,ns,1200
ser_header,borsh,idx=6; size=56478,56478,bytes,54637098.0,ns,1800
ser_header,borsh,idx=6; size=56478,56478,bytes,72716895.0,ns,2400
ser_header,borsh,idx=6; size=56478,56478,bytes,90854229.0,ns,3000
ser_header,borsh,idx=6; size=56478,56478,bytes,109130245.0,ns,3600
ser_header,borsh,idx=6; size=56478,56478,bytes,127927774.0,ns,4200
ser_header,borsh,idx=6; size=56478,56478,bytes,145835919.0,ns,4800
ser_header,borsh,idx=6; size=56478,56478,bytes,165706782.0,ns,5400
ser_header,borsh,idx=6; size=56478,56478,bytes,182219925.0,ns,6000
