group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ser_header,borsh,idx=8; size=141955,141955,bytes,1210626.0,ns,7
ser_header,borsh,idx=8; size=141955,141955,bytes,2184019.0,ns,14
ser_header,borsh,idx=8; size=141955,141955,bytes,3151402.0,ns,21
ser_header,borsh,idx=8; size=141955,141955,bytes,4185074.0,ns,28
ser_header,borsh,idx=8; size=141955,141955,bytes,5406371.0,ns,35
ser_header,borsh,idx=8; size=141955,141955,bytes,6233826.0,ns,42
ser_header,borsh,idx=8; size=141955,141955,bytes,7340791.0,ns,49
ser_header,borsh,idx=8; size=141955,141955,bytes,8615624.0,ns,56
ser_header,borsh,idx=8; size=141955,141955,bytes,9594786.0,ns,63
ser_header,borsh,idx=8; size=141955,141955,bytes,10466327.0,ns,70
ser_header,borsh,idx=8; size=141955,141955,bytes,11615526.0,ns,77
ser_header,borsh,idx=8; size=141955,141955,bytes,12664814.0,ns,84
ser_header,borsh,idx=8; size=141955,141955,bytes,13776483.0,ns,91
ser_header,borsh,idx=8; size=141955,141955,bytes,14886530.0,ns,98
ser_header,borsh,idx=8; size=141955,141955,bytes,15706874.0,ns,105
ser_header,borsh,idx=8; size=141955,141955,bytes,16543823.0,ns,112
ser_header,borsh,idx=8; size=141955,141955,bytes,17664406.0,ns,119
ser_header,borsh,idx=8; size=141955,141955,bytes,18726751.0,ns,126
ser_header,borsh,idx=8; size=141955,141955,bytes,20265976.0,ns,133
ser_header,borsh,idx=8; size=141955,141955,bytes,20760698.0,ns,140
ser_header,borsh,idx=8; size=141955,141955,bytes,21802843.0,ns,147
ser_header,borsh,idx=8; size=141955,141955,bytes,25576400.0,ns,154
ser_header,borsh,idx=8; size=141955,141955,bytes,24061442.0,ns,161
ser_header,borsh,idx=8; size=141955,141955,bytes,25212923.0,ns,168
ser_header,borsh,idx=8; size=141955,141955,bytes,25915686.0,ns,175
ser_header,borsh,idx=8; size=141955,141955,bytes,27109232.0,ns,182
ser_header,borsh,idx=8; size=141955,141955,bytes,27958716.0,ns,189
ser_header,borsh,idx=8; size=141955,141955,bytes,29074584.0,ns,196
ser_header,borsh,idx=8; size=141955,141955,bytes,30659353.0,ns,203
ser_header,borsh,idx=8; size=141955,141955,bytes,31236510.0,ns,210
ser_header,borsh,idx=8; size=141955,141955,bytes,32258045.0,ns,217
ser_header,borsh,idx=8; size=141955,141955,bytes,33219408.0,ns,224
ser_header,borsh,idx=8; size=141955,141955,bytes,34152456.0,ns,231
ser_header,borsh,idx=8; size=141955,141955,bytes,35282813.0,ns,238
