group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ser_header,cbor,idx=0; size=27866,27866,bytes,1098356.0,ns,9
ser_header,cbor,idx=0; size=27866,27866,bytes,2062076.0,ns,18
ser_header,cbor,idx=0; size=27866,27866,bytes,3056648.0,ns,27
ser_header,cbor,idx=0; size=27866,27866,bytes,4040079.0,ns,36
ser_header,cbor,idx=0; size=27866,27866,bytes,5185803.0,ns,45
ser_header,cbor,idx=0; size=27866,27866,bytes,6148250.0,ns,54
ser_header,cbor,idx=0; size=27866,27866,bytes,7102241.0,ns,63
ser_header,cbor,idx=0; size=27866,27866,bytes,8120057.0,ns,72
ser_header,cbor,idx=0; size=27866,27866,bytes,9198717.0,ns,81
ser_header,cbor,idx=0; size=27866,27866,bytes,10081709.0,ns,90
ser_header,cbor,idx=0; size=27866,27866,bytes,11098425.0,ns,99
ser_header,cbor,idx=0; size=27866,27866,bytes,12214560.0,ns,108
ser_header,cbor,idx=0; size=27866,27866,bytes,13109787.0,ns,117
ser_header,cbor,idx=0; size=27866,27866,bytes,14140029.0,ns,126
ser_header,cbor,idx=0; size=27866,27866,bytes,15145971.0,ns,135
ser_header,cbor,idx=0; size=27866,27866,bytes,16155776.0,ns,144
ser_header,cbor,idx=0; size=27866,27866,bytes,17250542.0,ns,153
ser_header,cbor,idx=0; size=27866,27866,bytes,18131251.0,ns,162
ser_header,cbor,idx=0; size=27866,27866,bytes,19208935.0,ns,171
ser_header,cbor,idx=0; size=27866,27866,bytes,20272259.0,ns,180
ser_header,cbor,idx=0; size=27866,27866,bytes,21132527.0,ns,189
ser_header,cbor,idx=0; size=27866,27866,bytes,22207606.0,ns,198
ser_header,cbor,idx=0; size=27866,27866,bytes,23203318.0,ns,207
ser_header,cbor,idx=0; size=27866,27866,bytes,24151715.0,ns,216
ser_header,cbor,idx=0; size=27866,27866,bytes,25144733.0,ns,225
ser_header,cbor,idx=0; size=27866,27866,bytes,26182061.0,ns,234
ser_header,cbor,idx=0; size=27866,27866,bytes,27105574.0,ns,243
ser_header,cbor,idx=0; size=27866,27866,bytes,29401136.0,ns,252
ser_header,cbor,idx=0; size=27866,27866,bytes,29264310.0,ns,261
ser_header,cbor,idx=0; size=27866,27866,bytes,30302588.0,ns,270
ser_header,cbor,idx=0; size=27866,27866,bytes,31293084.0,ns,279
ser_header,cbor,idx=0; size=27866,27866,bytes,33124288.0,ns,288
ser_header,cbor,idx=0; size=27866,27866,bytes,33712029.0,ns,297
ser_header,cbor,idx=0; size=27866,27866,bytes,34852193.0,ns,306
ser_header,cbor,idx=0; size=27866,27866,bytes,36324793.0,ns,315
ser_header,cbor,idx=0; size=27866,27866,bytes,36892562.0,ns,324
ser_header,cbor,idx=0; size=27866,27866,bytes,37784191.0,ns,333
ser_header,cbor,idx=0; size=27866,27866,bytes,38454177.0,ns,342
ser_header,cbor,idx=0; size=27866,27866,bytes,39987644.0,ns,351
ser_header,cbor,idx=0; size=27866,27866,bytes,40427238.0,ns,360
ser_header,cbor,idx=0; size=27866,27866,bytes,41404454.0,ns,369
ser_header,cbor,idx=0; size=27866,27866,bytes,43293772.0,ns,378
ser_header,cbor,idx=0; size=27866,27866,bytes,44426878.0,ns,387
ser_header,cbor,idx=0; size=27866,27866,bytes,46105150.0,ns,396
ser_header,cbor,idx=0; size=27866,27866,bytes,45393402.0,ns,405
ser_header,cbor,idx=0; size=27866,27866,bytes,47325665.0,ns,414
ser_header,cbor,idx=0; size=27866,27866,bytes,47493966.0,ns,423
ser_header,cbor,idx=0; size=27866,27866,bytes,48383625.0,ns,432
ser_header,cbor,idx=0; size=27866,27866,bytes,49381799.0,ns,441
ser_header,cbor,idx=0; size=27866,27866,bytes,50435810.0,ns,450
ser_header,cbor,idx=0; size=27866,27866,bytes,51456473.0,ns,459
ser_header,cbor,idx=0; size=27866,27866,bytes,52387808.0,ns,468
ser_header,cbor,idx=0; size=27866,27866,bytes,53334436.0,ns,477
ser_header,cbor,idx=0; size=27866,27866,bytes,55691980.0,ns,486
ser_header,cbor,idx=0; size=27866,27866,bytes,55628161.0,ns,495
ser_header,cbor,idx=0; size=27866,27866,bytes,57280618.0,ns,504
ser_header,cbor,idx=0; size=27866,27866,bytes,58716621.0,ns,513
ser_header,cbor,idx=0; size=27866,27866,bytes,59583149.0,ns,522
ser_header,cbor,idx=0; size=27866,27866,bytes,59477841.0,ns,531
ser_header,cbor,idx=0; size=27866,27866,bytes,60959535.0,ns,540
ser_header,cbor,idx=0; size=27866,27866,bytes,64188675.0,ns,549
ser_header,cbor,idx=0; size=27866,27866,bytes,62461957.0,ns,558
ser_header,cbor,idx=0; size=27866,27866,bytes,64884745.0,ns,567
ser_header,cbor,idx=0; size=27866,27866,bytes,65414047.0,ns,576
ser_header,cbor,idx=0; size=27866,27866,bytes,66515997.0,ns,585
ser_header,cbor,idx=0; size=27866,27866,bytes,66576759.0,ns,594
ser_header,cbor,idx=0; size=27866,27866,bytes,67423928.0,ns,603
ser_header,cbor,idx=0; size=27866,27866,bytes,68614216.0,ns,612
ser_header,cbor,idx=0; size=27866,27866,bytes,69521881.0,ns,621
ser_header,cbor,idx=0; size=27866,27866,bytes,70543699.0,ns,630
ser_header,cbor,idx=0; size=27866,27866,bytes,72058708.0,ns,639
ser_header,cbor,idx=0; size=27866,27866,bytes,72969968.0,ns,648
ser_header,cbor,idx=0; size=27866,27866,bytes,75271450.0,ns,657
ser_header,cbor,idx=0; size=27866,27866,bytes,76568293.0,ns,666
ser_header,cbor,idx=0; size=27866,27866,bytes,76286346.0,ns,675
ser_header,cbor,idx=0; size=27866,27866,bytes,77396859.0,ns,684
ser_header,cbor,idx=0; size=27866,27866,bytes,77761061.0,ns,693
ser_header,cbor,idx=0; size=27866,27866,bytes,80448209.0,ns,702
ser_header,cbor,idx=0; size=27866,27866,bytes,80446453.0,ns,711
ser_header,cbor,idx=0; size=27866,27866,bytes,81585190.0,ns,720
ser_header,cbor,idx=0; size=27866,27866,bytes,81795774.0,ns,729
ser_header,cbor,idx=0; size=27866,27866,bytes,82757962.0,ns,738
ser_header,cbor,idx=0; size=27866,27866,bytes,84100109.0,ns,747
ser_header,cbor,idx=0; size=27866,27866,bytes,85408487.0,ns,756
ser_header,cbor,idx=0; size=27866,27866,bytes,86318661.0,ns,765
ser_header,cbor,idx=0; size=27866,27866,bytes,88219588.0,ns,774
ser_header,cbor,idx=0; size=27866,27866,bytes,89747777.0,ns,783
ser_header,cbor,idx=0; size=27866,27866,bytes,88845697.0,ns,792
ser_header,cbor,idx=0; size=27866,27866,bytes,91123037.0,ns,801
ser_header,cbor,idx=0; size=27866,27866,bytes,90913738.0,ns,810
ser_header,cbor,idx=0; size=27866,27866,bytes,93445108.0,ns,819
ser_header,cbor,idx=0; size=27866,27866,bytes,93634581.0,ns,828
ser_header,cbor,idx=0; size=27866,27866,bytes,93555290.0,ns,837
ser_header,cbor,idx=0; size=27866,27866,bytes,94621634.0,ns,846
ser_header,cbor,idx=0; size=27866,27866,bytes,95689583.0,ns,855
ser_header,cbor,idx=0; size=27866,27866,bytes,98264187.0,ns,864
ser_header,cbor,idx=0; size=27866,27866,bytes,97946482.0,ns,873
ser_header,cbor,idx=0; size=27866,27866,bytes,100576106.0,ns,882
ser_header,cbor,idx=0; size=27866,27866,bytes,100471084.0,ns,891
ser_header,cbor,idx=0; size=27866,27866,bytes,101795977.0,ns,900
