group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ser_header,cbor,idx=3; size=108473,108473,bytes,18322095.0,ns,55
ser_header,cbor,idx=3; size=108473,108473,bytes,36814477.0,ns,110
ser_header,cbor,idx=3; size=108473,108473,bytes,54548232.0,ns,165
ser_header,cbor,idx=3; size=108473,108473,bytes,72738570.0,ns,220
ser_header,cbor,idx=3; size=108473,108473,bytes,90853001.0,ns,275
ser_header,cbor,idx=3; size=108473,108473,bytes,108953388.0,ns,330
ser_header,cbor,idx=3; size=108473,108473,bytes,126980386.0,ns,385
ser_header,cbor,idx=3; size=108473,108473,bytes,145684116.0,ns,440
ser_header,cbor,idx=3; size=108473,108473,bytes,163411630.0,ns,495
ser_header,cbor,idx=3; size=108473,108473,bytes,181416223.0,ns,550
