group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ser_header,speedy,idx=0; size=27866,27866,bytes,1160206.0,ns,191
ser_header,speedy,idx=0; size=27866,27866,bytes,1976314.0,ns,382
ser_header,speedy,idx=0; size=27866,27866,bytes,2921483.0,ns,573
ser_header,speedy,idx=0; size=27866,27866,bytes,3905750.0,ns,764
ser_header,speedy,idx=0; size=27866,27866,bytes,4897071.0,ns,955
ser_header,speedy,idx=0; size=27866,27866,bytes,5839217.0,ns,1146
ser_header,speedy,idx=0; size=27866,27866,bytes,6851857.0,ns,1337
ser_header,speedy,idx=0; size=27866,27866,bytes,7895867.0,ns,1528
ser_header,speedy,idx=0; size=27866,27866,bytes,8786212.0,ns,1719
ser_header,speedy,idx=0; size=27866,27866,bytes,9738598.0,ns,1910
ser_header,speedy,idx=0; size=27866,27866,bytes,10732836.0,ns,2101
ser_header,speedy,idx=0; size=27866,27866,bytes,11696734.0,ns,2292
ser_header,speedy,idx=0; size=27866,27866,bytes,12681535.0,ns,2483
ser_header,speedy,idx=0; size=27866,27866,bytes,13630089.0,ns,2674
ser_header,speedy,idx=0; size=27866,27866,bytes,14621977.0,ns,2865
ser_header,speedy,idx=0; size=27866,27866,bytes,15594325.0,ns,3056
ser_header,speedy,idx=0; size=27866,27866,bytes,16863271.0,ns,3247
ser_header,speedy,idx=0; size=27866,27866,bytes,17582869.0,ns,3438
ser_header,speedy,idx=0; size=27866,27866,bytes,18516567.0,ns,3629
ser_header,speedy,idx=0; size=27866,27866,bytes,19486911.0,ns,3820
ser_header,speedy,idx=0; size=27866,27866,bytes,20505053.0,ns,4011
ser_header,speedy,idx=0; size=27866,27866,bytes,27259994.0,ns,4202
ser_header,speedy,idx=0; size=27866,27866,bytes,23042648.0,ns,4393
ser_header,speedy,idx=0; size=27866,27866,bytes,23899551.0,ns,4584
ser_header,speedy,idx=0; size=27866,27866,bytes,24501962.0,ns,4775
ser_header,speedy,idx=0; size=27866,27866,bytes,25400030.0,ns,4966
ser_header,speedy,idx=0; size=27866,27866,bytes,26424056.0,ns,5157
ser_header,speedy,idx=0; size=27866,27866,bytes,27296957.0,ns,5348
ser_header,speedy,idx=0; size=27866,27866,bytes,28292353.0,ns,5539
ser_header,speedy,idx=0; size=27866,27866,bytes,29206875.0,ns,5730
ser_header,speedy,idx=0; size=27866,27866,bytes,30350146.0,ns,5921
ser_header,speedy,idx=0; size=27866,27866,bytes,38940220.0,ns,6112
ser_header,speedy,idx=0; size=27866,27866,bytes,32351876.0,ns,6303
ser_header,speedy,idx=0; size=27866,27866,bytes,33304993.0,ns,6494
ser_header,speedy,idx=0; size=27866,27866,bytes,34189178.0,ns,6685
ser_header,speedy,idx=0; size=27866,27866,bytes,35101165.0,ns,6876
ser_header,speedy,idx=0; size=27866,27866,bytes,36054454.0,ns,7067
ser_header,speedy,idx=0; size=27866,27866,bytes,37163205.0,ns,7258
