group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ser_header,speedy,idx=8; size=141955,141955,bytes,1180142.0,ns,42
ser_header,speedy,idx=8; size=141955,141955,bytes,2061736.0,ns,84
ser_header,speedy,idx=8; size=141955,141955,bytes,2992015.0,ns,126
ser_header,speedy,idx=8; size=141955,141955,bytes,3957272.0,ns,168
ser_header,speedy,idx=8; size=141955,141955,bytes,4929286.0,ns,210
ser_header,speedy,idx=8; size=141955,141955,bytes,5908966.0,ns,252
ser_header,speedy,idx=8; size=141955,141955,bytes,6878990.0,ns,294
ser_header,speedy,idx=8; size=141955,141955,bytes,7877089.0,ns,336
ser_header,speedy,idx=8; size=141955,141955,bytes,8852937.0,ns,378
ser_header,speedy,idx=8; size=141955,141955,bytes,9832095.0,ns,420
ser_header,speedy,idx=8; size=141955,141955,bytes,11062103.0,ns,462
ser_header,speedy,idx=8; size=141955,141955,bytes,11825835.0,ns,504
ser_header,speedy,idx=8; size=141955,141955,bytes,12787788.0,ns,546
ser_header,speedy,idx=8; size=141955,141955,bytes,13711531.0,ns,588
ser_header,speedy,idx=8; size=141955,141955,bytes,14932887.0,ns,630
ser_header,speedy,idx=8; size=141955,141955,bytes,16002488.0,ns,672
ser_header,speedy,idx=8; size=141955,141955,bytes,17069396.0,ns,714
ser_header,speedy,idx=8; size=141955,141955,bytes,18263533.0,ns,756
ser_header,speedy,idx=8; size=141955,141955,bytes,18664973.0,ns,798
ser_header,speedy,idx=8; size=141955,141955,bytes,19648006.0,ns,840
ser_header,speedy,idx=8; size=141955,141955,bytes,20722273.0,ns,882
ser_header,speedy,idx=8; size=141955,141955,bytes,21645896.0,ns,924
ser_header,speedy,idx=8; size=141955,141955,bytes,22577996.0,ns,966
ser_header,speedy,idx=8; size=141955,141955,bytes,23585748.0,ns,1008
ser_header,speedy,idx=8; size=141955,141955,bytes,24579634.0,ns,1050
ser_header,speedy,idx=8; size=141955,141955,bytes,25634561.0,ns,1092
ser_header,speedy,idx=8; size=141955,141955,bytes,26558968.0,ns,1134
ser_header,speedy,idx=8; size=141955,141955,bytes,27500971.0,ns,1176
ser_header,speedy,idx=8; size=141955,141955,bytes,28603888.0,ns,1218
ser_header,speedy,idx=8; size=141955,141955,bytes,29768351.0,ns,1260
ser_header,speedy,idx=8; size=141955,141955,bytes,30483493.0,ns,1302
ser_header,speedy,idx=8; size=141955,141955,bytes,31390649.0,ns,1344
ser_header,speedy,idx=8; size=141955,141955,bytes,32406551.0,ns,1386
ser_header,speedy,idx=8; size=141955,141955,bytes,34432156.0,ns,1428
ser_header,speedy,idx=8; size=141955,141955,bytes,38807375.0,ns,1470
ser_header,speedy,idx=8; size=141955,141955,bytes,35392293.0,ns,1512
ser_header,speedy,idx=8; size=141955,141955,bytes,36420465.0,ns,1554
ser_header,speedy,idx=8; size=141955,141955,bytes,37386604.0,ns,1596
ser_header,speedy,idx=8; size=141955,141955,bytes,38346546.0,ns,1638
ser_header,speedy,idx=8; size=141955,141955,bytes,39415569.0,ns,1680
ser_header,speedy,idx=8; size=141955,141955,bytes,40971174.0,ns,1722
ser_header,speedy,idx=8; size=141955,141955,bytes,41185805.0,ns,1764
ser_header,speedy,idx=8; size=141955,141955,bytes,42406895.0,ns,1806
ser_header,speedy,idx=8; size=141955,141955,bytes,50077337.0,ns,1848
ser_header,speedy,idx=8; size=141955,141955,bytes,44196524.0,ns,1890
ser_header,speedy,idx=8; size=141955,141955,bytes,45128866.0,ns,1932
ser_header,speedy,idx=8; size=141955,141955,bytes,48485928.0,ns,1974
ser_header,speedy,idx=8; size=141955,141955,bytes,47654617.0,ns,2016
ser_header,speedy,idx=8; size=141955,141955,bytes,48063679.0,ns,2058
ser_header,speedy,idx=8; size=141955,141955,bytes,49105748.0,ns,2100
ser_header,speedy,idx=8; size=141955,141955,bytes,50075347.0,ns,2142
ser_header,speedy,idx=8; size=141955,141955,bytes,51242193.0,ns,2184
ser_header,speedy,idx=8; size=141955,141955,bytes,52315388.0,ns,2226
ser_header,speedy,idx=8; size=141955,141955,bytes,58358392.0,ns,2268
ser_header,speedy,idx=8; size=141955,141955,bytes,54103790.0,ns,2310
ser_header,speedy,idx=8; size=141955,141955,bytes,55185863.0,ns,2352
ser_header,speedy,idx=8; size=141955,141955,bytes,56295469.0,ns,2394
ser_header,speedy,idx=8; size=141955,141955,bytes,57336316.0,ns,2436
ser_header,speedy,idx=8; size=141955,141955,bytes,58136349.0,ns,2478
ser_header,speedy,idx=8; size=141955,141955,bytes,59033713.0,ns,2520
ser_header,speedy,idx=8; size=141955,141955,bytes,59902897.0,ns,2562
ser_header,speedy,idx=8; size=141955,141955,bytes,61263521.0,ns,2604
ser_header,speedy,idx=8; size=141955,141955,bytes,68568735.0,ns,2646
ser_header,speedy,idx=8; size=141955,141955,bytes,63095013.0,ns,2688
ser_header,speedy,idx=8; size=141955,141955,bytes,69607986.0,ns,2730
ser_header,speedy,idx=8; size=141955,141955,bytes,65084210.0,ns,2772
ser_header,speedy,idx=8; size=141955,141955,bytes,66012832.0,ns,2814
ser_header,speedy,idx=8; size=141955,141955,bytes,66974465.0,ns,2856
ser_header,speedy,idx=8; size=141955,141955,bytes,68137084.0,ns,2898
ser_header,speedy,idx=8; size=141955,141955,bytes,69287022.0,ns,2940
ser_header,speedy,idx=8; size=141955,141955,bytes,70076410.0,ns,2982
ser_header,speedy,idx=8; size=141955,141955,bytes,71323284.0,ns,3024
ser_header,speedy,idx=8; size=141955,141955,bytes,72068907.0,ns,3066
ser_header,speedy,idx=8; size=141955,141955,bytes,73022117.0,ns,3108
ser_header,speedy,idx=8; size=141955,141955,bytes,74340548.0,ns,3150
ser_header,speedy,idx=8; size=141955,141955,bytes,74706903.0,ns,3192
ser_header,speedy,idx=8; size=141955,141955,bytes,88063404.0,ns,3234
ser_header,speedy,idx=8; size=141955,141955,bytes,76829836.0,ns,3276
ser_header,speedy,idx=8; size=141955,141955,bytes,80630837.0,ns,3318
ser_header,speedy,idx=8; size=141955,141955,bytes,78464315.0,ns,3360
ser_header,speedy,idx=8; size=141955,141955,bytes,79576356.0,ns,3402
ser_header,speedy,idx=8; size=141955,141955,bytes,80609301.0,ns,3444
ser_header,speedy,idx=8; size=141955,141955,bytes,81706767.0,ns,3486
ser_header,speedy,idx=8; size=141955,141955,bytes,82462489.0,ns,3528
ser_header,speedy,idx=8; size=141955,141955,bytes,88701855.0,ns,3570
ser_header,speedy,idx=8; size=141955,141955,bytes,84713631.0,ns,3612
ser_header,speedy,idx=8; size=141955,141955,bytes,85918895.0,ns,3654
ser_header,speedy,idx=8; size=141955,141955,bytes,86857850.0,ns,3696
ser_header,speedy,idx=8; size=141955,141955,bytes,88686260.0,ns,3738
ser_header,speedy,idx=8; size=141955,141955,bytes,95508969.0,ns,3780
ser_header,speedy,idx=8; size=141955,141955,bytes,90669947.0,ns,3822
ser_header,speedy,idx=8; size=141955,141955,bytes,90467178.0,ns,3864
ser_header,speedy,idx=8; size=141955,141955,bytes,91543959.0,ns,3906
ser_header,speedy,idx=8; size=141955,141955,bytes,92507429.0,ns,3948
ser_header,speedy,idx=8; size=141955,141955,bytes,98996337.0,ns,3990
ser_header,speedy,idx=8; size=141955,141955,bytes,94766171.0,ns,4032
ser_header,speedy,idx=8; size=141955,141955,bytes,95228646.0,ns,4074
