group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ser_transaction,bincode,idx=0; size=1774,1774,bytes,1197250.0,ns,238
ser_transaction,bincode,idx=0; size=1774,1774,bytes,1959972.0,ns,476
ser_transaction,bincode,idx=0; size=1774,1774,bytes,2965657.0,ns,714
ser_transaction,bincode,idx=0; size=1774,1774,bytes,3949380.0,ns,952
ser_transaction,bincode,idx=0; size=1774,1774,bytes,4933428.0,ns,1190
ser_transaction,bincode,idx=0; size=1774,1774,bytes,5981835.0,ns,1428
ser_transaction,bincode,idx=0; size=1774,1774,bytes,6899062.0,ns,1666
ser_transaction,bincode,idx=0; size=1774,1774,bytes,7879468.0,ns,1904
ser_transaction,bincode,idx=0; size=1774,1774,bytes,8925444.0,ns,2142
ser_transaction,bincode,idx=0; size=1774,1774,bytes,9867490.0,ns,2380
ser_transaction,bincode,idx=0; size=1774,1774,bytes,10861296.0,ns,2618
ser_transaction,bincode,idx=0; size=1774,1774,bytes,11857051.0,ns,2856
ser_transaction,bincode,idx=0; size=1774,1774,bytes,12737792.0,ns,3094
ser_transaction,bincode,idx=0; size=1774,1774,bytes,13804412.0,ns,3332
ser_transaction,bincode,idx=0; size=1774,1774,bytes,15242348.0,ns,3570
ser_transaction,bincode,idx=0; size=1774,1774,bytes,16149343.0,ns,3808
ser_transaction,bincode,idx=0; size=1774,1774,bytes,16803142.0,ns,4046
ser_transaction,bincode,idx=0; size=1774,1774,bytes,17758233.0,ns,4284
ser_transaction,bincode,idx=0; size=1774,1774,bytes,18885849.0,ns,4522
ser_transaction,bincode,idx=0; size=1774,1774,bytes,19787999.0,ns,4760
ser_transaction,bincode,idx=0; size=1774,1774,bytes,20745213.0,ns,4998
ser_transaction,bincode,idx=0; size=1774,1774,bytes,22303721.0,ns,5236
ser_transaction,bincode,idx=0; size=1774,1774,bytes,22805906.0,ns,5474
ser_transaction,bincode,idx=0; size=1774,1774,bytes,23670623.0,ns,5712
ser_transaction,bincode,idx=0; size=1774,1774,bytes,24688741.0,ns,5950
ser_transaction,bincode,idx=0; size=1774,1774,bytes,25959579.0,ns,6188
ser_transaction,bincode,idx=0; size=1774,1774,bytes,27101806.0,ns,6426
ser_transaction,bincode,idx=0; size=1774,1774,bytes,27800539.0,ns,6664
ser_transaction,bincode,idx=0; size=1774,1774,bytes,29104583.0,ns,6902
ser_transaction,bincode,idx=0; size=1774,1774,bytes,29599511.0,ns,7140
ser_transaction,bincode,idx=0; size=1774,1774,bytes,31122851.0,ns,7378
