group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ser_transaction,bincode,idx=3; size=3093,3093,bytes,1155741.0,ns,111
ser_transaction,bincode,idx=3; size=3093,3093,bytes,1925201.0,ns,222
ser_transaction,bincode,idx=3; size=3093,3093,bytes,2935364.0,ns,333
ser_transaction,bincode,idx=3; size=3093,3093,bytes,3897166.0,ns,444
ser_transaction,bincode,idx=3; size=3093,3093,bytes,4859765.0,ns,555
ser_transaction,bincode,idx=3; size=3093,3093,bytes,5875024.0,ns,666
ser_transaction,bincode,idx=3; size=3093,3093,bytes,6806591.0,ns,777
ser_transaction,bincode,idx=3; size=3093,3093,bytes,8944293.0,ns,888
ser_transaction,bincode,idx=3; size=3093,3093,bytes,14731857.0,ns,999
ser_transaction,bincode,idx=3; size=3093,3093,bytes,9779300.0,ns,1110
ser_transaction,bincode,idx=3; size=3093,3093,bytes,10710946.0,ns,1221
ser_transaction,bincode,idx=3; size=3093,3093,bytes,11657541.0,ns,1332
ser_transaction,bincode,idx=3; size=3093,3093,bytes,12726643.0,ns,1443
ser_transaction,bincode,idx=3; size=3093,3093,bytes,13601396.0,ns,1554
ser_transaction,bincode,idx=3; size=3093,3093,bytes,14541302.0,ns,1665
ser_transaction,bincode,idx=3; size=3093,3093,bytes,15762685.0,ns,1776
ser_transaction,bincode,idx=3; size=3093,3093,bytes,16748478.0,ns,1887
ser_transaction,bincode,idx=3; size=3093,3093,bytes,17591592.0,ns,1998
ser_transaction,bincode,idx=3; size=3093,3093,bytes,18558113.0,ns,2109
ser_transaction,bincode,idx=3; size=3093,3093,bytes,19578570.0,ns,2220
ser_transaction,bincode,idx=3; size=3093,3093,bytes,20475219.0,ns,2331
ser_transaction,bincode,idx=3; size=3093,3093,bytes,21461286.0,ns,2442
ser_transaction,bincode,idx=3; size=3093,3093,bytes,22335925.0,ns,2553
ser_transaction,bincode,idx=3; size=3093,3093,bytes,23503788.0,ns,2664
ser_transaction,bincode,idx=3; size=3093,3093,bytes,24477035.0,ns,2775
ser_transaction,bincode,idx=3; size=3093,3093,bytes,25399258.0,ns,2886
ser_transaction,bincode,idx=3; size=3093,3093,bytes,26264904.0,ns,2997
ser_transaction,bincode,idx=3; size=3093,3093,bytes,27827708.0,ns,3108
ser_transaction,bincode,idx=3; size=3093,3093,bytes,28387512.0,ns,3219
ser_transaction,bincode,idx=3; size=3093,3093,bytes,29318490.0,ns,3330
ser_transaction,bincode,idx=3; size=3093,3093,bytes,30278874.0,ns,3441
ser_transaction,bincode,idx=3; size=3093,3093,bytes,31412053.0,ns,3552
ser_transaction,bincode,idx=3; size=3093,3093,bytes,32216073.0,ns,3663
ser_transaction,bincode,idx=3; size=3093,3093,bytes,35308804.0,ns,3774
ser_transaction,bincode,idx=3; size=3093,3093,bytes,34147578.0,ns,3885
ser_transaction,bincode,idx=3; size=3093,3093,bytes,35301108.0,ns,3996
ser_transaction,bincode,idx=3; size=3093,3093,bytes,36013822.0,ns,4107
ser_transaction,bincode,idx=3; size=3093,3093,bytes,36885679.0,ns,4218
ser_transaction,bincode,idx=3; size=3093,3093,bytes,38017585.0,ns,4329
ser_transaction,bincode,idx=3; size=3093,3093,bytes,38979934.0,ns,4440
ser_transaction,bincode,idx=3; size=3093,3093,bytes,40064186.0,ns,4551
ser_transaction,bincode,idx=3; size=3093,3093,bytes,40917169.0,ns,4662
ser_transaction,bincode,idx=3; size=3093,3093,bytes,41876570.0,ns,4773
ser_transaction,bincode,idx=3; size=3093,3093,bytes,48708077.0,ns,4884
ser_transaction,bincode,idx=3; size=3093,3093,bytes,44129643.0,ns,4995
ser_transaction,bincode,idx=3; size=3093,3093,bytes,52099029.0,ns,5106
ser_transaction,bincode,idx=3; size=3093,3093,bytes,45798356.0,ns,5217
ser_transaction,bincode,idx=3; size=3093,3093,bytes,52999965.0,ns,5328
ser_transaction,bincode,idx=3; size=3093,3093,bytes,47617092.0,ns,5439
ser_transaction,bincode,idx=3; size=3093,3093,bytes,48613851.0,ns,5550
ser_transaction,bincode,idx=3; size=3093,3093,bytes,49754054.0,ns,5661
ser_transaction,bincode,idx=3; size=3093,3093,bytes,50914222.0,ns,5772
ser_transaction,bincode,idx=3; size=3093,3093,bytes,51873737.0,ns,5883
ser_transaction,bincode,idx=3; size=3093,3093,bytes,52755502.0,ns,5994
ser_transaction,bincode,idx=3; size=3093,3093,bytes,53716111.0,ns,6105
ser_transaction,bincode,idx=3; size=3093,3093,bytes,54586604.0,ns,6216
ser_transaction,bincode,idx=3; size=3093,3093,bytes,55574225.0,ns,6327
ser_transaction,bincode,idx=3; size=3093,3093,bytes,56839621.0,ns,6438
ser_transaction,bincode,idx=3; size=3093,3093,bytes,57328402.0,ns,6549
ser_transaction,bincode,idx=3; size=3093,3093,bytes,58374798.0,ns,6660
ser_transaction,bincode,idx=3; size=3093,3093,bytes,59363548.0,ns,6771
