group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ser_transaction,borsh,idx=3; size=3093,3093,bytes,17963790.0,ns,4513
ser_transaction,borsh,idx=3; size=3093,3093,bytes,35976987.0,ns,9026
ser_transaction,borsh,idx=3; size=3093,3093,bytes,54066687.0,ns,13539
ser_transaction,borsh,idx=3; size=3093,3093,bytes,71582827.0,ns,18052
ser_transaction,borsh,idx=3; size=3093,3093,bytes,89331243.0,ns,22565
ser_transaction,borsh,idx=3; size=3093,3093,bytes,107251894.0,ns,27078
ser_transaction,borsh,idx=3; size=3093,3093,bytes,124950842.0,ns,31591
ser_transaction,borsh,idx=3; size=3093,3093,bytes,142838463.0,ns,36104
ser_transaction,borsh,idx=3; size=3093,3093,bytes,161093002.0,ns,40617
ser_transaction,borsh,idx=3; size=3093,3093,bytes,180328520.0,ns,45130
