group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ser_transaction,borsh,idx=9; size=372,372,bytes,18162746.0,ns,41337
ser_transaction,borsh,idx=9; size=372,372,bytes,36320308.0,ns,82674
ser_transaction,borsh,idx=9; size=372,372,bytes,54341471.0,ns,124011
ser_transaction,borsh,idx=9; size=372,372,bytes,73062807.0,ns,165348
ser_transaction,borsh,idx=9; size=372,372,bytes,90636055.0,ns,206685
ser_transaction,borsh,idx=9; size=372,372,bytes,108565439.0,ns,248022
ser_transaction,borsh,idx=9; size=372,372,bytes,126954200.0,ns,289359
ser_transaction,borsh,idx=9; size=372,372,bytes,144744152.0,ns,330696
ser_transaction,borsh,idx=9; size=372,372,bytes,163391693.0,ns,372033
ser_transaction,borsh,idx=9; size=372,372,bytes,181273380.0,ns,413370
