group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ser_transaction,cbor,idx=5; size=385,385,bytes,1215911.0,ns,341
ser_transaction,cbor,idx=5; size=385,385,bytes,1957698.0,ns,682
ser_transaction,cbor,idx=5; size=385,385,bytes,2944549.0,ns,1023
ser_transaction,cbor,idx=5; size=385,385,bytes,3879309.0,ns,1364
ser_transaction,cbor,idx=5; size=385,385,bytes,4838399.0,ns,1705
ser_transaction,cbor,idx=5; size=385,385,bytes,6146473.0,ns,2046
ser_transaction,cbor,idx=5; size=385,385,bytes,6879358.0,ns,2387
ser_transaction,cbor,idx=5; size=385,385,bytes,7853435.0,ns,2728
ser_transaction,cbor,idx=5; size=385,385,bytes,8857574.0,ns,3069
ser_transaction,cbor,idx=5; size=385,385,bytes,9810425.0,ns,3410
ser_transaction,cbor,idx=5; size=385,385,bytes,10749627.0,ns,3751
ser_transaction,cbor,idx=5; size=385,385,bytes,11697647.0,ns,4092
ser_transaction,cbor,idx=5; size=385,385,bytes,13009500.0,ns,4433
ser_transaction,cbor,idx=5; size=385,385,bytes,14305407.0,ns,4774
ser_transaction,cbor,idx=5; size=385,385,bytes,15015873.0,ns,5115
ser_transaction,cbor,idx=5; size=385,385,bytes,15721692.0,ns,5456
ser_transaction,cbor,idx=5; size=385,385,bytes,16626547.0,ns,5797
ser_transaction,cbor,idx=5; size=385,385,bytes,17657454.0,ns,6138
ser_transaction,cbor,idx=5; size=385,385,bytes,19198447.0,ns,6479
ser_transaction,cbor,idx=5; size=385,385,bytes,21342965.0,ns,6820
ser_transaction,cbor,idx=5; size=385,385,bytes,20565733.0,ns,7161
ser_transaction,cbor,idx=5; size=385,385,bytes,21544241.0,ns,7502
ser_transaction,cbor,idx=5; size=385,385,bytes,22572197.0,ns,7843
ser_transaction,cbor,idx=5; size=385,385,bytes,23556381.0,ns,8184
ser_transaction,cbor,idx=5; size=385,385,bytes,24467707.0,ns,8525
ser_transaction,cbor,idx=5; size=385,385,bytes,25384895.0,ns,8866
ser_transaction,cbor,idx=5; size=385,385,bytes,27032830.0,ns,9207
ser_transaction,cbor,idx=5; size=385,385,bytes,27454658.0,ns,9548
ser_transaction,cbor,idx=5; size=385,385,bytes,29721895.0,ns,9889
ser_transaction,cbor,idx=5; size=385,385,bytes,29398249.0,ns,10230
ser_transaction,cbor,idx=5; size=385,385,bytes,30223681.0,ns,10571
ser_transaction,cbor,idx=5; size=385,385,bytes,31316197.0,ns,10912
ser_transaction,cbor,idx=5; size=385,385,bytes,32187935.0,ns,11253
ser_transaction,cbor,idx=5; size=385,385,bytes,33404148.0,ns,11594
ser_transaction,cbor,idx=5; size=385,385,bytes,34334307.0,ns,11935
ser_transaction,cbor,idx=5; size=385,385,bytes,35184898.0,ns,12276
ser_transaction,cbor,idx=5; size=385,385,bytes,36087637.0,ns,12617
ser_transaction,cbor,idx=5; size=385,385,bytes,37016274.0,ns,12958
ser_transaction,cbor,idx=5; size=385,385,bytes,38609069.0,ns,13299
ser_transaction,cbor,idx=5; size=385,385,bytes,39650043.0,ns,13640
ser_transaction,cbor,idx=5; size=385,385,bytes,40615140.0,ns,13981
ser_transaction,cbor,idx=5; size=385,385,bytes,41499632.0,ns,14322
ser_transaction,cbor,idx=5; size=385,385,bytes,42746436.0,ns,14663
ser_transaction,cbor,idx=5; size=385,385,bytes,43139594.0,ns,15004
ser_transaction,cbor,idx=5; size=385,385,bytes,44624116.0,ns,15345
ser_transaction,cbor,idx=5; size=385,385,bytes,45081488.0,ns,15686
ser_transaction,cbor,idx=5; size=385,385,bytes,46050980.0,ns,16027
ser_transaction,cbor,idx=5; size=385,385,bytes,47691680.0,ns,16368
ser_transaction,cbor,idx=5; size=385,385,bytes,49324500.0,ns,16709
ser_transaction,cbor,idx=5; size=385,385,bytes,49539925.0,ns,17050
ser_transaction,cbor,idx=5; size=385,385,bytes,50608688.0,ns,17391
ser_transaction,cbor,idx=5; size=385,385,bytes,51148180.0,ns,17732
ser_transaction,cbor,idx=5; size=385,385,bytes,51577373.0,ns,18073
ser_transaction,cbor,idx=5; size=385,385,bytes,53826525.0,ns,18414
ser_transaction,cbor,idx=5; size=385,385,bytes,55311695.0,ns,18755
ser_transaction,cbor,idx=5; size=385,385,bytes,55032570.0,ns,19096
ser_transaction,cbor,idx=5; size=385,385,bytes,55860707.0,ns,19437
ser_transaction,cbor,idx=5; size=385,385,bytes,56997644.0,ns,19778
ser_transaction,cbor,idx=5; size=385,385,bytes,57621893.0,ns,20119
ser_transaction,cbor,idx=5; size=385,385,bytes,58679682.0,ns,20460
ser_transaction,cbor,idx=5; size=385,385,bytes,60884098.0,ns,20801
ser_transaction,cbor,idx=5; size=385,385,bytes,62261191.0,ns,21142
ser_transaction,cbor,idx=5; size=385,385,bytes,62829454.0,ns,21483
ser_transaction,cbor,idx=5; size=385,385,bytes,63338964.0,ns,21824
ser_transaction,cbor,idx=5; size=385,385,bytes,64050911.0,ns,22165
ser_transaction,cbor,idx=5; size=385,385,bytes,64825285.0,ns,22506
ser_transaction,cbor,idx=5; size=385,385,bytes,67197603.0,ns,22847
ser_transaction,cbor,idx=5; size=385,385,bytes,66919179.0,ns,23188
ser_transaction,cbor,idx=5; size=385,385,bytes,69780866.0,ns,23529
ser_transaction,cbor,idx=5; size=385,385,bytes,68814286.0,ns,23870
ser_transaction,cbor,idx=5; size=385,385,bytes,69796041.0,ns,24211
ser_transaction,cbor,idx=5; size=385,385,bytes,72577270.0,ns,24552
ser_transaction,cbor,idx=5; size=385,385,bytes,71949212.0,ns,24893
ser_transaction,cbor,idx=5; size=385,385,bytes,72534812.0,ns,25234
ser_transaction,cbor,idx=5; size=385,385,bytes,73546190.0,ns,25575
ser_transaction,cbor,idx=5; size=385,385,bytes,74997032.0,ns,25916
ser_transaction,cbor,idx=5; size=385,385,bytes,75992152.0,ns,26257
ser_transaction,cbor,idx=5; size=385,385,bytes,78925724.0,ns,26598
ser_transaction,cbor,idx=5; size=385,385,bytes,77843374.0,ns,26939
ser_transaction,cbor,idx=5; size=385,385,bytes,78415259.0,ns,27280
ser_transaction,cbor,idx=5; size=385,385,bytes,79420037.0,ns,27621
ser_transaction,cbor,idx=5; size=385,385,bytes,82082511.0,ns,27962
ser_transaction,cbor,idx=5; size=385,385,bytes,82506267.0,ns,28303
ser_transaction,cbor,idx=5; size=385,385,bytes,82504367.0,ns,28644
ser_transaction,cbor,idx=5; size=385,385,bytes,83913702.0,ns,28985
ser_transaction,cbor,idx=5; size=385,385,bytes,85862973.0,ns,29326
ser_transaction,cbor,idx=5; size=385,385,bytes,85142885.0,ns,29667
ser_transaction,cbor,idx=5; size=385,385,bytes,86564613.0,ns,30008
ser_transaction,cbor,idx=5; size=385,385,bytes,86773194.0,ns,30349
ser_transaction,cbor,idx=5; size=385,385,bytes,89479289.0,ns,30690
ser_transaction,cbor,idx=5; size=385,385,bytes,90204986.0,ns,31031
ser_transaction,cbor,idx=5; size=385,385,bytes,91923315.0,ns,31372
