group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ser_transaction,speedy,idx=2; size=2784,2784,bytes,1115749.0,ns,2888
ser_transaction,speedy,idx=2; size=2784,2784,bytes,1974366.0,ns,5776
ser_transaction,speedy,idx=2; size=2784,2784,bytes,2940727.0,ns,8664
ser_transaction,speedy,idx=2; size=2784,2784,bytes,3904204.0,ns,11552
ser_transaction,speedy,idx=2; size=2784,2784,bytes,4868727.0,ns,14440
ser_transaction,speedy,idx=2; size=2784,2784,bytes,5853306.0,ns,17328
ser_transaction,speedy,idx=2; size=2784,2784,bytes,6865075.0,ns,20216
ser_transaction,speedy,idx=2; size=2784,2784,bytes,7806999.0,ns,23104
ser_transaction,speedy,idx=2; size=2784,2784,bytes,8805899.0,ns,25992
ser_transaction,speedy,idx=2; size=2784,2784,bytes,9834033.0,ns,28880
ser_transaction,speedy,idx=2; size=2784,2784,bytes,10808641.0,ns,31768
ser_transaction,speedy,idx=2; size=2784,2784,bytes,11694954.0,ns,34656
ser_transaction,speedy,idx=2; size=2784,2784,bytes,13067620.0,ns,37544
ser_transaction,speedy,idx=2; size=2784,2784,bytes,14176439.0,ns,40432
ser_transaction,speedy,idx=2; size=2784,2784,bytes,15040798.0,ns,43320
ser_transaction,speedy,idx=2; size=2784,2784,bytes,15707725.0,ns,46208
ser_transaction,speedy,idx=2; size=2784,2784,bytes,16587257.0,ns,49096
ser_transaction,speedy,idx=2; size=2784,2784,bytes,17595401.0,ns,51984
ser_transaction,speedy,idx=2; size=2784,2784,bytes,18576843.0,ns,54872
ser_transaction,speedy,idx=2; size=2784,2784,bytes,19572606.0,ns,57760
ser_transaction,speedy,idx=2; size=2784,2784,bytes,20566477.0,ns,60648
ser_transaction,speedy,idx=2; size=2784,2784,bytes,21565523.0,ns,63536
ser_transaction,speedy,idx=2; size=2784,2784,bytes,22787858.0,ns,66424
ser_transaction,speedy,idx=2; size=2784,2784,bytes,23932181.0,ns,69312
ser_transaction,speedy,idx=2; size=2784,2784,bytes,24462924.0,ns,72200
ser_transaction,speedy,idx=2; size=2784,2784,bytes,25907011.0,ns,75088
ser_transaction,speedy,idx=2; size=2784,2784,bytes,26539857.0,ns,77976
ser_transaction,speedy,idx=2; size=2784,2784,bytes,27507534.0,ns,80864
ser_transaction,speedy,idx=2; size=2784,2784,bytes,28808534.0,ns,83752
ser_transaction,speedy,idx=2; size=2784,2784,bytes,29319764.0,ns,86640
ser_transaction,speedy,idx=2; size=2784,2784,bytes,30387849.0,ns,89528
ser_transaction,speedy,idx=2; size=2784,2784,bytes,31337581.0,ns,92416
ser_transaction,speedy,idx=2; size=2784,2784,bytes,33019314.0,ns,95304
ser_transaction,speedy,idx=2; size=2784,2784,bytes,33735836.0,ns,98192
ser_transaction,speedy,idx=2; size=2784,2784,bytes,34580222.0,ns,101080
ser_transaction,speedy,idx=2; size=2784,2784,bytes,35842431.0,ns,103968
ser_transaction,speedy,idx=2; size=2784,2784,bytes,36258606.0,ns,106856
ser_transaction,speedy,idx=2; size=2784,2784,bytes,37248508.0,ns,109744
