group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ser_transaction,speedy,idx=8; size=2430,2430,bytes,1135313.0,ns,3207
ser_transaction,speedy,idx=8; size=2430,2430,bytes,1974796.0,ns,6414
ser_transaction,speedy,idx=8; size=2430,2430,bytes,2951325.0,ns,9621
ser_transaction,speedy,idx=8; size=2430,2430,bytes,3929749.0,ns,12828
ser_transaction,speedy,idx=8; size=2430,2430,bytes,4918835.0,ns,16035
ser_transaction,speedy,idx=8; size=2430,2430,bytes,5915886.0,ns,19242
ser_transaction,speedy,idx=8; size=2430,2430,bytes,6856760.0,ns,22449
ser_transaction,speedy,idx=8; size=2430,2430,bytes,7874367.0,ns,25656
ser_transaction,speedy,idx=8; size=2430,2430,bytes,8805044.0,ns,28863
ser_transaction,speedy,idx=8; size=2430,2430,bytes,9902720.0,ns,32070
ser_transaction,speedy,idx=8; size=2430,2430,bytes,11069683.0,ns,35277
ser_transaction,speedy,idx=8; size=2430,2430,bytes,11964706.0,ns,38484
ser_transaction,speedy,idx=8; size=2430,2430,bytes,12880631.0,ns,41691
ser_transaction,speedy,idx=8; size=2430,2430,bytes,13787675.0,ns,44898
ser_transaction,speedy,idx=8; size=2430,2430,bytes,14761686.0,ns,48105
ser_transaction,speedy,idx=8; size=2430,2430,bytes,15758192.0,ns,51312
ser_transaction,speedy,idx=8; size=2430,2430,bytes,16762194.0,ns,54519
ser_transaction,speedy,idx=8; size=2430,2430,bytes,17674184.0,ns,57726
ser_transaction,speedy,idx=8; size=2430,2430,bytes,18696114.0,ns,60933
ser_transaction,speedy,idx=8; size=2430,2430,bytes,19778532.0,ns,64140
ser_transaction,speedy,idx=8; size=2430,2430,bytes,20917753.0,ns,67347
ser_transaction,speedy,idx=8; size=2430,2430,bytes,21610016.0,ns,70554
ser_transaction,speedy,idx=8; size=2430,2430,bytes,22594076.0,ns,73761
ser_transaction,speedy,idx=8; size=2430,2430,bytes,23621917.0,ns,76968
ser_transaction,speedy,idx=8; size=2430,2430,bytes,24491161.0,ns,80175
ser_transaction,speedy,idx=8; size=2430,2430,bytes,25498661.0,ns,83382
ser_transaction,speedy,idx=8; size=2430,2430,bytes,26716835.0,ns,86589
ser_transaction,speedy,idx=8; size=2430,2430,bytes,27786795.0,ns,89796
ser_transaction,speedy,idx=8; size=2430,2430,bytes,28981554.0,ns,93003
ser_transaction,speedy,idx=8; size=2430,2430,bytes,30008413.0,ns,96210
ser_transaction,speedy,idx=8; size=2430,2430,bytes,30513218.0,ns,99417
ser_transaction,speedy,idx=8; size=2430,2430,bytes,31431133.0,ns,102624
ser_transaction,speedy,idx=8; size=2430,2430,bytes,32407652.0,ns,105831
ser_transaction,speedy,idx=8; size=2430,2430,bytes,33330222.0,ns,109038
ser_transaction,speedy,idx=8; size=2430,2430,bytes,34304582.0,ns,112245
ser_transaction,speedy,idx=8; size=2430,2430,bytes,35866317.0,ns,115452
ser_transaction,speedy,idx=8; size=2430,2430,bytes,36501589.0,ns,118659
ser_transaction,speedy,idx=8; size=2430,2430,bytes,37459886.0,ns,121866
ser_transaction,speedy,idx=8; size=2430,2430,bytes,38604646.0,ns,125073
ser_transaction,speedy,idx=8; size=2430,2430,bytes,39207795.0,ns,128280
ser_transaction,speedy,idx=8; size=2430,2430,bytes,40927640.0,ns,131487
ser_transaction,speedy,idx=8; size=2430,2430,bytes,41517729.0,ns,134694
ser_transaction,speedy,idx=8; size=2430,2430,bytes,42668160.0,ns,137901
ser_transaction,speedy,idx=8; size=2430,2430,bytes,43746682.0,ns,141108
ser_transaction,speedy,idx=8; size=2430,2430,bytes,44166487.0,ns,144315
ser_transaction,speedy,idx=8; size=2430,2430,bytes,45181982.0,ns,147522
ser_transaction,speedy,idx=8; size=2430,2430,bytes,46670292.0,ns,150729
ser_transaction,speedy,idx=8; size=2430,2430,bytes,47802606.0,ns,153936
ser_transaction,speedy,idx=8; size=2430,2430,bytes,48437254.0,ns,157143
ser_transaction,speedy,idx=8; size=2430,2430,bytes,49000282.0,ns,160350
ser_transaction,speedy,idx=8; size=2430,2430,bytes,50760521.0,ns,163557
ser_transaction,speedy,idx=8; size=2430,2430,bytes,51159885.0,ns,166764
ser_transaction,speedy,idx=8; size=2430,2430,bytes,51937877.0,ns,169971
ser_transaction,speedy,idx=8; size=2430,2430,bytes,53577327.0,ns,173178
ser_transaction,speedy,idx=8; size=2430,2430,bytes,54263869.0,ns,176385
ser_transaction,speedy,idx=8; size=2430,2430,bytes,55607574.0,ns,179592
ser_transaction,speedy,idx=8; size=2430,2430,bytes,55924144.0,ns,182799
ser_transaction,speedy,idx=8; size=2430,2430,bytes,57133601.0,ns,186006
ser_transaction,speedy,idx=8; size=2430,2430,bytes,58457937.0,ns,189213
ser_transaction,speedy,idx=8; size=2430,2430,bytes,59293506.0,ns,192420
ser_transaction,speedy,idx=8; size=2430,2430,bytes,59879078.0,ns,195627
ser_transaction,speedy,idx=8; size=2430,2430,bytes,61560586.0,ns,198834
ser_transaction,speedy,idx=8; size=2430,2430,bytes,61814493.0,ns,202041
ser_transaction,speedy,idx=8; size=2430,2430,bytes,63337026.0,ns,205248
ser_transaction,speedy,idx=8; size=2430,2430,bytes,64472327.0,ns,208455
ser_transaction,speedy,idx=8; size=2430,2430,bytes,64722723.0,ns,211662
ser_transaction,speedy,idx=8; size=2430,2430,bytes,66297659.0,ns,214869
ser_transaction,speedy,idx=8; size=2430,2430,bytes,66862688.0,ns,218076
ser_transaction,speedy,idx=8; size=2430,2430,bytes,68348433.0,ns,221283
ser_transaction,speedy,idx=8; size=2430,2430,bytes,68753150.0,ns,224490
ser_transaction,speedy,idx=8; size=2430,2430,bytes,69599244.0,ns,227697
ser_transaction,speedy,idx=8; size=2430,2430,bytes,71302167.0,ns,230904
ser_transaction,speedy,idx=8; size=2430,2430,bytes,72189052.0,ns,234111
ser_transaction,speedy,idx=8; size=2430,2430,bytes,72616424.0,ns,237318
ser_transaction,speedy,idx=8; size=2430,2430,bytes,73903280.0,ns,240525
ser_transaction,speedy,idx=8; size=2430,2430,bytes,75010871.0,ns,243732
ser_transaction,speedy,idx=8; size=2430,2430,bytes,75933038.0,ns,246939
ser_transaction,speedy,idx=8; size=2430,2430,bytes,77445573.0,ns,250146
ser_transaction,speedy,idx=8; size=2430,2430,bytes,78522756.0,ns,253353
ser_transaction,speedy,idx=8; size=2430,2430,bytes,78700322.0,ns,256560
ser_transaction,speedy,idx=8; size=2430,2430,bytes,79862724.0,ns,259767
ser_transaction,speedy,idx=8; size=2430,2430,bytes,80628378.0,ns,262974
ser_transaction,speedy,idx=8; size=2430,2430,bytes,82022196.0,ns,266181
ser_transaction,speedy,idx=8; size=2430,2430,bytes,82383117.0,ns,269388
ser_transaction,speedy,idx=8; size=2430,2430,bytes,83639080.0,ns,272595
ser_transaction,speedy,idx=8; size=2430,2430,bytes,85518759.0,ns,275802
ser_transaction,speedy,idx=8; size=2430,2430,bytes,85243374.0,ns,279009
ser_transaction,speedy,idx=8; size=2430,2430,bytes,86801724.0,ns,282216
